"Occurrences","lex","Lexeme","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
32,"KXD[","כחד ",,,"estar escondido, ser escondido, estar borrado","esconder, encubrir",,,"borrar",,,,,,,,,,
22,"KXC[","כחשׁ ",,"desfallecer","encogerse, fingir obediencia","negar, engañar",,"actuar fingidamente",,,,,,,,,,,
4483,"KJ","כִּי ","por, porque, que, cuando, pero; en realidad, en verdad; sí",,,,,,,,,,,,,,,,
23,"KJWR/","כִּיֹּור ","platillo, olla, recipiente",,,,,,,,,,,,,,,,
37,"KKH","כָּכָה ","así que, por tanto",,,,,,,,,,,,,,,,
68,"KKR/","כִּכָּר ","barra de pan; talento; alrededores (todas, medidas circulares",,,,,,,,,,,,,,,,
5412,"KL/","כֹּל ","todo(s), cada",,,,,,,,,,,,,,,,
10,"KL>/","כֶּלֶא ","prision, encarcelamiento, confinamiento, prisión",,,,,,,,,,,,,,,,
17,"KL>[","כלא ",,"contener, retener","ser restringido",,,,,,,,,,,,,,
32,"KLB/","כֶּלֶב I","perro",,,,,,,,,,,,,,,,
36,"KLB=/","כָּלֵב II","Caleb",,,,,,,,,,,,,,,,
34,"KLH/","כַּלָּה I","novia, nuera",,,,,,,,,,,,,,,,
22,"KLH=/","כָּלָה II","destruccion, aniquilacion, destrucción, aniquilación",,,,,,,,,,,,,,,,
206,"KLH[","כלה ",,"llegar a un final, estar completo, anhelar",,"terminar, consumir, destruir","haber terminado",,,,,,,,,,,,
325,"KLJ/","כְּלִי ","vaso, utensilio",,,,,,,,,,,,,,,,
31,"KLJH/","כִּלְיָה ","riñón, rinon",,,,,,,,,,,,,,,,
15,"KLJL/","כָּלִיל ","todo, entero; totalidad",,,,,,,,,,,,,,,,
38,"KLM[","כלם ",,,"ser avergonzado, ser desacreditado",,,,"insultar, molestar, poner en vergüenza","ser humillado, ser avergonzado",,,,,,,,,
30,"KLMH/","כְּלִמָּה ","desgracia, insulto",,,,,,,,,,,,,,,,
142,"KMW","כְּמֹו ","exactamente como",,,,,,,,,,,,,,,,
546,"KN","כֵּן ","así, por tanto, asi",,,,,,,,,,,,,,,,
26,"KN/","כֵּן I","correctamente, derecho, íntegro, integro",,,,,,,,,,,,,,,,
16,"KN=/","כֵּן II","base, plato; lugar, posicion, base, plato; lugar, posición",,,,,,,,,,,,,,,,
42,"KNWR/","כִּנֹּור ","cítara,lira, citara,lira",,,,,,,,,,,,,,,,
11,"KNS[","כנס ",,"acumular, recoger",,"acumular",,"envolverse a si mismo",,,,,,,,,,,
36,"KN<[","כנע ",,,"ser sometido, humillado, humilllarse",,,,"ser sometido, ser humillado, humilllarse",,,,,,,,,,
93,"KN<N/","כְּנַעַן ","Canaán, Canaan",,,,,,,,,,,,,,,,
73,"KN<NJ/","כְּנַעֲנִי I","Cananeo; comerciante",,,,,,,,,,,,,,,,
109,"KNP/","כָּנָף ","ala, orilla",,,,,,,,,,,,,,,,
136,"KS>/","כִּסֵּא I","asiento, trono",,,,,,,,,,,,,,,,
152,"KSH[","כסה ",,"cubrir, encubrir","ser cubierto","tapar, ocultar","ser cubierto","cubrirse a si mismo",,,,,,,,,,,
70,"KSJL/","כְּסִיל I","insolente (espiritual); estúpido, torpe (cosas prácticas",,,,,,,,,,,,,,,,
403,"KSP/","כֶּסֶף ","plata, dinero",,,,,,,,,,,,,,,,
25,"K<S/","כַּעַס ","irritación, ira, frustración, irritacion, frustracion",,,,,,,,,,,,,,,,
54,"K<S[","כעס ",,"ser irritado, estar enojado",,"causar estar descontento; apesadumbrar",,,"poner descontento; afligir, ofender ",,,,,,,,,,
192,"KP/","כַּף I","palma de la mano",,,,,,,,,,,,,,,,
31,"KPJR/","כְּפִיר ","cachorro de león, cachorro de leon",,,,,,,,,,,,,,,,
13,"KPR/","כֹּפֶר I","soborno",,,,,,,,,,,,,,,,
102,"KPR[","כפר ",,"cubrir",,"expiar, hacer expiación","ser cubierto, ser expiado","ser traído para expiación, ser traido para expiacion",,,,,,"ser cubierto, ser expiado",,,,,
27,"KPRT/","כַּפֹּרֶת ","cubierta, tapa; (acción de) reconciliación",,,,,,,,,,,,,,,,
18,"KPTWR/","כַּפְתֹּור I","capital; boton de lampara, botón de lámpara",,,,,,,,,,,,,,,,
12,"KR/","כַּר I","joven carnero; ariete",,,,,,,,,,,,,,,,
14,"KRH[","כרה I",,"excavar, cavar","ser excavado",,,,,,,,,,,,,,
91,"KRWB/","כְּרוּב I","querubín, querubin",,,,,,,,,,,,,,,,
92,"KRM/","כֶּרֶם I","viñedo, vinedo",,,,,,,,,,,,,,,,
14,"KRML/","כַּרְמֶל I","huerta",,,,,,,,,,,,,,,,
22,"KRML==/","כַּרְמֶל III","(monte) Carmelo",,,,,,,,,,,,,,,,
36,"KR<[","כרע ",,"doblar la rodilla, arrodillarse",,,,,"causar inclinarse, causar arrodillarse",,,,,,,,,,
288,"KRT[","כרת ",,"cortar; hacer (un pacto)","ser cortado, ser exterminado",,"ser reducido, ser cortado",,"cortar, destruir","ser cortado",,,,,,,,,
10,"KRTJ/","כְּרֵתִי ","quereteo",,,,,,,,,,,,,,,,
13,"KFB/","כֶּשֶׂב ","joven carnero",,,,,,,,,,,,,,,,
80,"KFDJM/","כַּשְׂדִּים ","Caldeos",,,,,,,,,,,,,,,,
25,"KCJ/","כֻּשִׁי ","Cusita",,,,,,,,,,,,,,,,
62,"KCL[","כשׁל ",,"tropezar, tambalearse","tropezar, tambalearse, ser tropezado, ser tambaleado",,,,"causar tropezarse, tambalear","ser derrocado",,,,,,,,,
17,"KTB/","כְּתָב ","documento; registro",,,,,,,,,,,,,,,,
223,"KTB[","כתב ",,"escribir, anotar","ser escrito, ser anotado","escribir constantemente",,,,,,,,,,,,,
29,"KTNT/","כֻּתֹּנֶת ","túnica, tunica",,,,,,,,,,,,,,,,
67,"KTP/","כָּתֵף ","hombro (hombrera)",,,,,,,,,,,,,,,,
24,"KTRT/","כֹּתֶרֶת ","(columna) capital",,,,,,,,,,,,,,,,
17,"KTT[","כתת ",,"desmenuzar, golpear",,"aplastar a pedazos","ser aplastado a pedazos",,"dispersar","ser aplastado a pedazos, ser dispersado",,,,,,,,,
20069,"L","לְ ","a, hacia ; Haz, Sí (voc); con respecto a, por.",,,,,,,,,,,,,,,,
5167,"L>","לֹא ","no",,,,,,,,,,,,,,,,
34,"L>H/","לֵאָה ","Lea",,,,,,,,,,,,,,,,
19,"L>H[","לאה ",,"estar cansado, cansarse","estar exhausto",,,,"cansarse",,,,,,,,,,
31,"L>M/","לְאֹם ","gente",,,,,,,,,,,,,,,,
601,"LB/","לֵב ","corazón, corazon",,,,,,,,,,,,,,,,
252,"LBB/","לֵבָב ","corazón, el interior",,,,,,,,,,,,,,,,
32,"LBWC/","לְבוּשׁ I","vestido; ropa",,,,,,,,,,,,,,,,
14,"LBWC=/","לָבוּשׁ II","arropado, vestido",,,,,,,,,,,,,,,,
11,"LBJ>/","לָבִיא I","leona",,,,,,,,,,,,,,,,
29,"LBN/","לָבָן I","blanco",,,,,,,,,,,,,,,,
54,"LBN=/","לָבָן II","Labán, Laban",,,,,,,,,,,,,,,,
12,"LBNH/","לְבֵנָה I","ladrillo, teja, abode",,,,,,,,,,,,,,,,
21,"LBNH=/","לְבֹנָה II","incienso",,,,,,,,,,,,,,,,
18,"LBNH====/","לִבְנָה V","Libna",,,,,,,,,,,,,,,,
71,"LBNWN/","לְבָנֹון ","Líbano, Libano",,,,,,,,,,,,,,,,
97,"LBC[","לבשׁ ",,"ponerse el (traje), tela, ser vestido con",,,"ser vestido de, ser vestido con",,"vestir a una person con",,,,,,,,,,
12,"LHB/","לַהַב ","llama, espada",,,,,,,,,,,,,,,,
17,"LHBH/","לֶהָבָה ","llama, espada",,,,,,,,,,,,,,,,
11,"LHV[","להט ",,"consumir, quemar",,"devorar",,,,,,,,,,,,,
22,"LW","לוּ ","si tan solo, sería, seria",,,,,,,,,,,,,,,,
14,"LWH=[","לוה II",,"prestar",,,,,"prestar a ",,,,,,,,,,
12,"LWH[","לוה I",,"acompañar","unirse",,,,,,,,,,,,,,
43,"LWX/","לוּחַ ","tableta, tablero, tablón, tablon",,,,,,,,,,,,,,,,
33,"LWV=/","לֹוט II","Lot",,,,,,,,,,,,,,,,
292,"LWJ/","לֵוִי I","Leví, Levi",,,,,,,,,,,,,,,,
58,"LWJ=/","לֵוִי II","Leví, Levi",,,,,,,,,,,,,,,,
14,"LWL>","לוּלֵא ","si no, a menos que; seguramente",,,,,,,,,,,,,,,,
14,"LWN[","לון ",,,"murmurar, quejarse",,,,"murmurar",,,,,,,,,,
21,"LXJ/","לְחִי I","Mandibula, menton, Mandíbula, mentón",,,,,,,,,,,,,,,,
298,"LXM/","לֶחֶם I","pan",,,,,,,,,,,,,,,,
171,"LXM[","לחם I",,"batallar, pelear","batallar, pelear",,,,,,,,,,,,,,
12,"LXY/","לַחַץ ","Opresion, afliccion , Opresión, aflicción ",,,,,,,,,,,,,,,,
19,"LXY[","לחץ ",,"llenar, presionar, oprimir","exprimirse",,,,,,,,,,,,,,
227,"LJLH/","לַיְלָה ","Noche; de noche",,,,,,,,,,,,,,,,
70,"LJN[","לין ",,"pasar la noche, alojarse",,,,"habitar, permanecer",,,,,,,,,,,
12,"LJY[","ליץ ",,"jactarse",,"burlarse",,"actuar como un burlador","burlarse de, ser un portavoz (interprete)",,,,,,,,,,
121,"LKD[","לכד ",,"incautar, capturar","ser capturado, atrapar, tomar",,,"agarrarse unos a otros, ser compacto",,,,,,,,,,,
24,"LKJC/","לָכִישׁ ","Laquis",,,,,,,,,,,,,,,,
200,"LKN","לָכֵן ","por lo tanto, seguramente",,,,,,,,,,,,,,,,
13,"LL>T/","לֻלָאֹת ","lazos, nudos",,,,,,,,,,,,,,,,
86,"LMD[","למד ",,"aprender",,"enseñar","ser entranado, enseñado",,,,,,,,,,,,
178,"LMH","לָמָה ","¿por qué?, ¿por que?, por que ",,,,,,,,,,,,,,,,
11,"LMK/","לֶמֶךְ ","Lamec",,,,,,,,,,,,,,,,
272,"LM<N","לְמַעַן ","por amor de, a nombre de, con el propósito de",,,,,,,,,,,,,,,,
18,"L<G[","לעג ",,"ridiculizar","hablar tartamudeando",,,,"ridiculizar, imitar",,,,,,,,,,
13,"LPJD/","לַפִּיד ","antorcha; iluminacion, antorcha; iluminación",,,,,,,,,,,,,,,,
16,"LY/","לֵץ ","balbuceo, burlador, mofador",,,,,,,,,,,,,,,,
965,"LQX[","לקח ",,"tomar, agarrar, incautar","ser llevado, ser tomado",,"ser traído, ser tomado, ser traido","ser llevado de aquí para allá, ser llevado de aqui para alla",,"ser quitado",,"tomar, agarrar, asir",,,,,,,
37,"LQV[","לקט ",,"reunir, recoger",,"recoger, espigar","ser recogido","recoger, reunir",,,,,,,,,,,
117,"LCWN/","לָשֹׁון ","lengua; lenguaje",,,,,,,,,,,,,,,,
47,"LCKH/","לִשְׁכָּה ","cuarto, sala",,,,,,,,,,,,,,,,
300,"M>D/","מְאֹד ","fuerza, mucha fuerza(n.); muy, sumamente (adv)",,,,,,,,,,,,,,,,
579,"M>H/","מֵאָה I","cien",,,,,,,,,,,,,,,,
21,"M>WM/","מאוּם ","mancha, defecto",,,,,,,,,,,,,,,,
32,"M>WMH/","מְאוּמָה ","algo, cualquier cosa",,,,,,,,,,,,,,,,
19,"M>WR/","מָאֹור ","luminaria, lampara, luminaria, lámpara",,,,,,,,,,,,,,,,
15,"M>ZNJM/","מֹאזְנַיִם ","balanza, pesas",,,,,,,,,,,,,,,,
30,"M>KL/","מַאֲכָל ","comida; forraje",,,,,,,,,,,,,,,,
46,"M>N[","מאן ",,,,"reusarse a, rehusar, rehusar a",,,,,,,,,,,,,
75,"M>S[","מאס I",,"rechazar, despreciar","ser rechazado",,,,,,,,,,,,,,
23,"MBW>/","מָבֹוא ","entrada",,,,,,,,,,,,,,,,
13,"MBWL/","מַבּוּל ","diluvio, inundacion, inundación",,,,,,,,,,,,,,,,
12,"MBXR/","מִבְחָר I","mejor, eleccion, elección",,,,,,,,,,,,,,,,
15,"MBVX/","מִבְטָח ","confianza",,,,,,,,,,,,,,,,
37,"MBYR/","מִבְצָר I","fortaleza, ciudad fortificada",,,,,,,,,,,,,,,,
12,"MGDW/","מְגִדֹּו ","Meguido",,,,,,,,,,,,,,,,
48,"MGDL/","מִגְדָּל I","torre",,,,,,,,,,,,,,,,
11,"MGWRJM/","מְגוּרִים ","peregrinaje, ciudadania extranjera, peregrinaje, ciudadanía extranjera",,,,,,,,,,,,,,,,
21,"MGLH/","מְגִלָּה ","rollo",,,,,,,,,,,,,,,,
59,"MGN/","מָגֵן I","escudo",,,,,,,,,,,,,,,,
26,"MGPH/","מַגֵּפָה ","plaga, tormento, derrota, golpe",,,,,,,,,,,,,,,,
114,"MGRC/","מִגְרָשׁ ","pastura, terreno no labrado; producto",,,,,,,,,,,,,,,,
11,"MD/","מַד ","ropa, vestido",,,,,,,,,,,,,,,,
270,"MDBR/","מִדְבָּר I","desierto, pastura,",,,,,,,,,,,,,,,,
