"alphabetic_order","Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
116,9,">DM=/","אָדֹם II","ʔādōm",,,,,,,,,,,,,,,,,
117,3,">DM==/","אֹדֶם III","ʔōdem",,,,,,,,,,,,,,,,,
118,8,">DM===/","אָדָם IV","ʔādām",,,,,,,,,,,,,,,,,
119,1,">DM====/","אָדָם V","ʔādām",,,,,,,,,,,,,,,,,
120,10,">DM[","אדם ","ʔDM",,,,,,,,,,,,,,,,,
121,6,">DMDM/","אֲדַמְדָּם ","ʔᵃdamdām",,,,,,,,,,,,,,,,,
122,223,">DMH/","אֲדָמָה I","ʔᵃdāmāʰ","መሪት, አፈር, ግዛት, አለም ",,,,,,,,,,,,,,,,
123,5,">DMH=/","אַדְמָה II","ʔadmāʰ",,,,,,,,,,,,,,,,,
124,3,">DMH==/","אֲדָמָה III","ʔᵃdāmāʰ",,,,,,,,,,,,,,,,,
125,12,">DMJ/","אֲדֹמִי ","ʔᵃdōmî",,,,,,,,,,,,,,,,,
126,1,">DMJ_HNQB/","אֲדָמִי הַנֶּקֶב ","ʔᵃdāmî hanneqev",,,,,,,,,,,,,,,,,
127,3,">DMNJ/","אַדְמֹנִי ","ʔadmōnî",,,,,,,,,,,,,,,,,
128,1,">DMT>/","אַדְמָתָא ","ʔadmātāˀ",,,,,,,,,,,,,,,,,
129,57,">DN/","אֶדֶן I","ʔeden",,,,,,,,,,,,,,,,,
130,1,">DN=/","אַדָּן II","ʔaddān",,,,,,,,,,,,,,,,,
131,438,">DNJ/","אֲדֹנָי ","ʔᵃdōnāʸ","ጌታ",,,,,,,,,,,,,,,,
132,3,">DNJ_BZQ/","אֲדֹנִי בֶזֶק ","ʔᵃdōnî vezeq",,,,,,,,,,,,,,,,,
133,2,">DNJ_YDQ/","אֲדֹנִי צֶדֶק ","ʔᵃdōnî ṣedeq",,,,,,,,,,,,,,,,,
134,7,">DNJH/","אֲדֹנִיָּה ","ʔᵃdōniyyāʰ",,,,,,,,,,,,,,,,,
135,19,">DNJHW/","אֲדֹנִיָּהוּ ","ʔᵃdōniyyāhû",,,,,,,,,,,,,,,,,
136,3,">DNJQM/","אֲדֹנִיקָם ","ʔᵃdōnîqām",,,,,,,,,,,,,,,,,
137,2,">DNJRM/","אֲדֹנִירָם ","ʔᵃdōnîrām",,,,,,,,,,,,,,,,,
141,2,">DR/","אֶדֶר I","ʔeder",,,,,,,,,,,,,,,,,
142,8,">DR=/","אֲדָר II","ʔᵃdār",,,,,,,,,,,,,,,,,
138,1,">DR==/","אַדָּר III","ʔaddār",,,,,,,,,,,,,,,,,
139,1,">DR===/","אַדָּר IV","ʔaddār",,,,,,,,,,,,,,,,,
140,3,">DR[","אדר ","ʔDR",,,,,,,,,,,,,,,,,
143,2,">DRKWN/","אֲדַרְכֹּון ","ʔᵃdarkôn",,,,,,,,,,,,,,,,,
144,2,">DRM/","אֲדֹרָם ","ʔᵃdōrām",,,,,,,,,,,,,,,,,
145,1,">DRMLK/","אַדְרַמֶּלֶךְ I","ʔadrammelex",,,,,,,,,,,,,,,,,
146,2,">DRMLK=/","אַדְרַמֶּלֶךְ II","ʔadrammelex",,,,,,,,,,,,,,,,,
147,8,">DR<J/","אֶדְרֶעִי ","ʔedreʕî",,,,,,,,,,,,,,,,,
148,12,">DRT/","אַדֶּרֶת ","ʔadderet",,,,,,,,,,,,,,,,,
149,1,">DC[","אדשׁ ","ʔDŠ",,,,,,,,,,,,,,,,,
150,2,">HB/","אֹהַב I","ʔōhav",,,,,,,,,,,,,,,,,
151,2,">HB=/","אַהַב II","ʔahav",,,,,,,,,,,,,,,,,
152,211,">HB[","אהב ","ʔHV",,"ወደደ, መውደድ ","መወደድ","መውደድ, ፍቅረኛ",,,,,,,,,,,,,
153,36,">HBH/","אֲהָבָה ","ʔᵃhāvāʰ",,,,,,,,,,,,,,,,,
154,2,">HD/","אֹהַד ","ʔōhad",,,,,,,,,,,,,,,,,
155,15,">HH","אֲהָהּ ","ʔᵃhāh",,,,,,,,,,,,,,,,,
156,3,">HW>/","אַהֲוָא ","ʔahᵃwāˀ",,,,,,,,,,,,,,,,,
157,9,">HWD/","אֵהוּד ","ʔēhûd",,,,,,,,,,,,,,,,,
158,3,">HJ","אֱהִי ","ʔᵉhî",,,,,,,,,,,,,,,,,
159,345,">HL/","אֹהֶל I","ʔōhel","ድንኳን",,,,,,,,,,,,,,,,
160,1,">HL=/","אֹהֶל II","ʔōhel",,,,,,,,,,,,,,,,,
161,4,">HL==/","אָהָל III","ʔāhāl",,,,,,,,,,,,,,,,,
162,1,">HL=[","אהל II","ʔHL",,,,,,,,,,,,,,,,,
163,3,">HL[","אהל I","ʔHL",,,,,,,,,,,,,,,,,
164,5,">HLH/","אָהֳלָה ","ʔāhᵒlāʰ",,,,,,,,,,,,,,,,,
165,5,">HLJ>B/","אָהֳלִיאָב ","ʔāhᵒlîʔāv",,,,,,,,,,,,,,,,,
166,6,">HLJBH/","אָהֳלִיבָה ","ʔāhᵒlîvāʰ",,,,,,,,,,,,,,,,,
167,7,">HLJBMH/","אָהֳלִיבָמָה I","ʔāhᵒlîvāmāʰ",,,,,,,,,,,,,,,,,
168,1,">HLJBMH=/","אָהֳלִיבָמָה II","ʔāhᵒlîvāmāʰ",,,,,,,,,,,,,,,,,
169,347,">HRN/","אַהֲרֹן ","ʔahᵃrōn","አሮን",,,,,,,,,,,,,,,,
170,320,">W","אֹו ","ʔô","ወይም",,,,,,,,,,,,,,,,
171,1,">W>L/","אוּאֵל ","ʔûʔēl",,,,,,,,,,,,,,,,,
172,16,">WB/","אֹוב I","ʔôv",,,,,,,,,,,,,,,,,
173,1,">WB=/","אֹוב II","ʔôv",,,,,,,,,,,,,,,,,
174,1,">WBJL/","אֹובִיל ","ʔôvîl",,,,,,,,,,,,,,,,,
