"Occurrences","lex","Lexeme","None","Peal","Peil","Pael","Hafel","Afel","Shafel","Hofal","Hitpeel","Hitpaal","Hishtafal","Etpeel","Etpaal"
1,"DXWH/","דַּחֲוָה ",,,,,,,,,,,,,
6,"DXL[","דחל ",,"bang zijn",,"bang maken",,,,,,,,,
345,"DJ","דִּי ","hetgeen, [inleiding directe rede]",,,,,,,,,,,,
5,"DJN/","דִּין I","oordeel",,,,,,,,,,,,
1,"DJN=/","דַּיָּן II","rechter",,,,,,,,,,,,
1,"DJN[","דין ",,"oordelen",,,,,,,,,,,
1,"DJNJ/","דִּינָי ","?",,,,,,,,,,,,
6,"DK","דֵּךְ I","die, dat",,,,,,,,,,,,
7,"DK=","דָּךְ II","die, dat",,,,,,,,,,,,
3,"DKN","דִּכֵּן ","? die",,,,,,,,,,,,
3,"DKR/","דְּכַר ","ram",,,,,,,,,,,,
1,"DKRWN/","דִּכְרֹון ",,,,,,,,,,,,,
2,"DKRN/","דָּכְרָן ",,,,,,,,,,,,,
1,"DLQ[","דלק ",,"branden",,,,,,,,,,,
2,"DMH[","דמה ",,"lijken op",,,,,,,,,,,
58,"DNH","דְּנָה ","deze, dit",,,,,,,,,,,,
52,"DNJ>L/","דָּנִיֵּאל ","Daniël",,,,,,,,,,,,
9,"DQQ[","דקק ",,,,,"verpulveren",,,,,,,,
4,"DR/","דָּר ","generatie",,,,,,,,,,,,
15,"DRJWC/","דָּרְיָוֶשׁ ","Darius",,,,,,,,,,,,
1,"DR</","דְּרָע ","arm",,,,,,,,,,,,
14,"DT/","דָּת ","wet, bevel",,,,,,,,,,,,
2,"DT>/","דֶּתֶא ","gras",,,,,,,,,,,,
2,"DTBR/","דְּתָבַר ","rechter",,,,,,,,,,,,
6,"H","הֲ ","[vraagpartikel]",,,,,,,,,,,,
1,"H>","הָא I","zie!",,,,,,,,,,,,
1,"H>=","הֵא II","[interjectie]",,,,,,,,,,,,
4,"HDBR/","הַדָּבַר ",,,,,,,,,,,,,
2,"HDM/","הַדָּם ","? ledemaat, stuk",,,,,,,,,,,,
3,"HDR/","הֲדַר ","heerlijkheid",,,,,,,,,,,,
3,"HDR[","הדר ",,,,"verheerlijken",,,,,,,,,
15,"HW>","הוּא ","hij, die, [copula]",,,,,,,,,,,,
