"Occurrences","lex","Lexeme","Transliterated","None","Peal","Peil","Pael","Hafel","Afel","Shafel","Hofal","Hitpeel","Hitpaal","Hishtafal","Etpeel","Etpaal"
6,">RTXCFT>/","אַרְתַּחְשַׁשְׂתְּא ","ʔartaḥšaśtᵊʔ","Artaxerxes",,,,,,,,,,,,
3,">C/","אֹשׁ ","ʔōš","foundation",,,,,,,,,,,,
1,">C>/","אֶשָּׁא ","ʔeššāˀ","fire",,,,,,,,,,,,
6,">CP/","אָשַׁף ","ʔāšaf","enchanter",,,,,,,,,,,,
2,">CRN/","אשׁרן ","ʔšrn","<uncertain>",,,,,,,,,,,,
2,">CTDWR/","אֶשְׁתַּדּוּר ","ʔeštaddûr","revolt",,,,,,,,,,,,
3,">T/","אָת ","ʔāt","sign",,,,,,,,,,,,
16,">TH[","אתה ","ʔTH",,"come",,,"bring",,,"be brought",,,,,
10,">TWN/","אַתּוּן ","ʔattûn","furnace",,,,,,,,,,,,
5,">TR/","אֲתַר ","ʔᵃtar","place; trace",,,,,,,,,,,,
226,"B","בְּ ","bᵊ","in, through, with",,,,,,,,,,,,
1,"B>JC/","בִּאישׁ ","biˀyš","bad",,,,,,,,,,,,
1,"B>C[","באשׁ ","BʔŠ",,"be bad; displease",,,,,,,,,,,
3,"B>TR/","בָּאתַר ","bāˀtar","after",,,,,,,,,,,,
25,"BBL/","בָּבֶל ","bāvel","Babylon",,,,,,,,,,,,
1,"BBLJ/","בָּבְלָי ","bāvlāʸ","Babylonian",,,,,,,,,,,,
1,"BDR[","בדר ","BDR",,,,"scatter",,,,,,,,,
1,"BHJLW/","בְּהִילוּ ","bᵊhîlû","haste",,,,,,,,,,,,
11,"BHL[","בהל ","BHL",,,,"frighten",,,,,"hurry","be frightened",,,
6,"BVL[","בטל ","BṬL",,"cease",,"make to cease, hinder",,,,,,,,,
2,"BJN/","בֵּין ","bên","between",,,,,,,,,,,,
1,"BJNH/","בִּינָה ","bînāʰ","discernment",,,,,,,,,,,,
1,"BJRH/","בִּירָה ","bîrāʰ","fortified place",,,,,,,,,,,,
44,"BJT/","בַּיִת ","bayit","house",,,,,,,,,,,,
1,"BJT[","בית ","BYT",,"spend the night",,,,,,,,,,,
1,"BL/","בָּל ","bāl","heart, mind",,,,,,,,,,,,
1,"BLH[","בלה ","BLH",,,,"wear out",,,,,,,,,
3,"BLW/","בְּלֹו ","bᵊlô","tribute",,,,,,,,,,,,
8,"BLVC>YR/","בֵּלְטְשַׁאצַּר ","bēlᵊṭᵊšaˀṣṣar","Belteshazzar",,,,,,,,,,,,
7,"BLC>YR/","בֵּלְשַׁאצַּר ","bēlᵊšaˀṣṣar","Belshazzar",,,,,,,,,,,,
22,"BNH[","בנה ","BNH",,"build",,,,,,,"be built",,,,
1,"BNJN/","בִּנְיָן ","binyān","building",,,,,,,,,,,,
1,"BNS[","בנס ","BNS",,"become angry",,,,,,,,,,,
12,"B<H[","בעה ","BʕH",,"seek; request",,"search",,,,,,,,,
2,"B<W/","בָּעוּ ","bāʕû","request, prayer",,,,,,,,,,,,
3,"B<L/","בְּעֵל ","bᵊʕēl","owner, master",,,,,,,,,,,,
1,"BQ<H/","בִּקְעָה ","biqʕāʰ","plain",,,,,,,,,,,,
5,"BQR[","בקר ","BQR",,,,"search, investigate",,,,,,"be investigated",,,
19,"BR/","בַּר I","bar","son",,,,,,,,,,,,
8,"BR=/","בַּר II","bar","field",,,,,,,,,,,,
1,"BRK/","בְּרַךְ ","bᵊrax","knee",,,,,,,,,,,,
1,"BRK=[","ברך II","BRX",,"kneel",,,,,,,,,,,
4,"BRK[","ברך I","BRX",,"be blessed",,"bless",,,,,,,,,
5,"BRM","בְּרַם ","bᵊram","but",,,,,,,,,,,,
3,"BFR/","בְּשַׂר ","bᵊśar","flesh",,,,,,,,,,,,
2,"BT/","בַּת ","bat","bath <liquid measure>",,,,,,,,,,,,
1,"GB/","גַּב I","gav","back; side",,,,,,,,,,,,
10,"GB=/","גֹּב II","gōv","pit",,,,,,,,,,,,
2,"GBWRH/","גְּבוּרָה ","gᵊvûrāʰ","power",,,,,,,,,,,,
21,"GBR/","גְּבַר I","gᵊvar","man",,,,,,,,,,,,
1,"GBR=/","גִּבָּר II","gibbār","strong man",,,,,,,,,,,,
2,"GDBR/","גְּדָבַר ","gᵊdāvar","treasurer",,,,,,,,,,,,
2,"GDD[","גדד ","GDD",,"cut down",,,,,,,,,,,
13,"GW>/","גֹּוא ","gôʔ","midst, interior",,,,,,,,,,,,
1,"GWH/","גֵּוָה ","gēwāʰ","arrogance",,,,,,,,,,,,
1,"GWX[","גוח ","GWḤ",,,,,"stir up",,,,,,,,
1,"GZBR/","גִּזְבַּר ","gizbar","treasurer",,,,,,,,,,,,
6,"GZR[","גזר ","GZR",,"astrologers, soothsayers",,,,,,,"break off",,,"break off",
2,"GZRH/","גְּזֵרָה ","gᵊzērāʰ","decision",,,,,,,,,,,,
1,"GJR/","גִּיר ","gîr","plaster",,,,,,,,,,,,
1,"GLGL/","גַּלְגַּל ","galgal","wheel",,,,,,,,,,,,
9,"GLH[","גלה ","GLH",,"reveal","be revealed",,"take into exile",,,,,,,,
4,"GLW/","גָּלוּ ","gālû","exile",,,,,,,,,,,,
2,"GLL/","גְּלָל ","gᵊlāl","hewn stones",,,,,,,,,,,,
1,"GMR[","גמר ","GMR",,"'Peace' (only as ptc.; most likely used as a greeting formula)",,,,,,,,,,,
3,"GNZ/","גְּנַז ","gᵊnaz","treasure",,,,,,,,,,,,
3,"GP/","גַּף ","gaf","wing",,,,,,,,,,,,
1,"GRM/","גְּרַם ","gᵊram","bone",,,,,,,,,,,,
5,"GCM/","גְּשֵׁם ","gᵊšēm","body",,,,,,,,,,,,
6,"D>","דָּא ","dāˀ","this",,,,,,,,,,,,
1,"DB/","דֹּב ","dōv","bear",,,,,,,,,,,,
1,"DBX/","דְּבַח ","dᵊvaḥ","sacrifice",,,,,,,,,,,,
1,"DBX[","דבח ","DVḤ",,"sacrifice",,,,,,,,,,,
1,"DBQ[","דבק ","DVQ",,"cling to",,,,,,,,,,,
2,"DBRH/","דִּבְרָה ","divrāʰ","matter",,,,,,,,,,,,
23,"DHB/","דְּהַב ","dᵊhav","gold",,,,,,,,,,,,
1,"DHJ/","דֶּהָי ","dehāʸ","<uncertain>",,,,,,,,,,,,
1,"DWQ[","דוק ","DWQ",,"pulverise",,,,,,,,,,,
7,"DWR[","דור ","DWR",,"dwell",,,,,,,,,,,
1,"DWR>/","דּוּרָא ","dûrāˀ","Dura",,,,,,,,,,,,
1,"DWC[","דושׁ ","DWŠ",,"trample",,,,,,,,,,,
1,"DXWH/","דַּחֲוָה ","daḥᵃwāʰ","concubine?; table?; <musical instrument>?",,,,,,,,,,,,
6,"DXL[","דחל ","DḤL",,"fear",,"frighten",,,,,,,,,
345,"DJ","דִּי ","dî","<relative particle>, <genitive particle>, <introduction of direct speech>",,,,,,,,,,,,
5,"DJN/","דִּין I","dîn","judgment; court",,,,,,,,,,,,
1,"DJN=/","דַּיָּן II","dayyān","judge",,,,,,,,,,,,
1,"DJN[","דין ","DYN",,"judge",,,,,,,,,,,
1,"DJNJ/","דִּינָי ","dînāʸ","<uncertain>",,,,,,,,,,,,
6,"DK","דֵּךְ I","dēx","that",,,,,,,,,,,,
7,"DK=","דָּךְ II","dāx","that",,,,,,,,,,,,
3,"DKN","דִּכֵּן ","dikkēn","that",,,,,,,,,,,,
3,"DKR/","דְּכַר ","dᵊxar","ram",,,,,,,,,,,,
1,"DKRWN/","דִּכְרֹון ","dixrôn","memorandum, record",,,,,,,,,,,,
2,"DKRN/","דָּכְרָן ","dāxrān","memorandum, record",,,,,,,,,,,,
1,"DLQ[","דלק ","DLQ",,"burn",,,,,,,,,,,
2,"DMH[","דמה ","DMH",,"resemble",,,,,,,,,,,
58,"DNH","דְּנָה ","dᵊnāʰ","this",,,,,,,,,,,,
52,"DNJ>L/","דָּנִיֵּאל ","dāniyyēˀl","Daniel",,,,,,,,,,,,
9,"DQQ[","דקק ","DQQ",,,,,"crush",,,,,,,,
4,"DR/","דָּר ","dār","generation",,,,,,,,,,,,
15,"DRJWC/","דָּרְיָוֶשׁ ","dāryāweš","Darius",,,,,,,,,,,,
1,"DR</","דְּרָע ","dᵊrāʕ","arm",,,,,,,,,,,,
14,"DT/","דָּת ","dāt","decree, law",,,,,,,,,,,,
2,"DT>/","דֶּתֶא ","deteˀ","grass",,,,,,,,,,,,
2,"DTBR/","דְּתָבַר ","dᵊtāvar","judge",,,,,,,,,,,,
6,"H","הֲ ","hᵃ","<interrogative>",,,,,,,,,,,,
1,"H>","הָא I","hāˀ","behold",,,,,,,,,,,,
1,"H>=","הֵא II","hēˀ","as",,,,,,,,,,,,
4,"HDBR/","הַדָּבַר ","haddāvar","high royal official",,,,,,,,,,,,
2,"HDM/","הַדָּם ","haddām","limb",,,,,,,,,,,,
3,"HDR/","הֲדַר ","hᵃdar","glory",,,,,,,,,,,,
3,"HDR[","הדר ","HDR",,,,"glorify",,,,,,,,,
15,"HW>","הוּא ","hûˀ","he; that",,,,,,,,,,,,
71,"HWH[","הוה ","HWH",,"be; become; happen",,,,,,,,,,,
7,"HJ>","הִיא ","hîʔ","she",,,,,,,,,,,,
13,"HJKL/","הֵיכַל ","hêxal","palace; temple",,,,,,,,,,,,
3,"HLK/","הֲלָךְ ","hᵃlāx","tax",,,,,,,,,,,,
7,"HLK[","הלך ","HLX",,"go",,"walk about","walk about",,,,,,,,
9,"HMW","הִמֹּו ","himmô","they",,,,,,,,,,,,
3,"HMWN","הִמֹּון ","himmôn","they",,,,,,,,,,,,
3,"HMNJK/","הַמְנִיךְ ","hamnîx","necklace",,,,,,,,,,,,
16,"HN","הֵן ","hēn","if",,,,,,,,,,,,
1,"HRHR/","הַרְהֹר ","harhōr","imagining",,,,,,,,,,,,
731,"W","וְ ","wᵊ","and, but, also",,,,,,,,,,,,
1,"ZBN[","זבן ","ZVN",,"buy",,,,,,,,,,,
1,"ZHJR/","זְהִיר ","zᵊhîr","cautious",,,,,,,,,,,,
1,"ZWN[","זון ","ZWN",,,,,,,,,"feed on",,,,
2,"ZW<[","זוע ","ZWʕ",,"tremble before",,,,,,,,,,,
1,"ZJD[","זיד ","ZYD",,,,,"act presumptuously",,,,,,,,
6,"ZJW/","זִיו ","zîw","splendour; facial features",,,,,,,,,,,,
1,"ZKW/","זָכוּ ","zāxû","innocence",,,,,,,,,,,,
2,"ZKRJH/","זְכַרְיָה ","zᵊxaryāʰ","Zechariah",,,,,,,,,,,,
11,"ZMN/","זְמָן ","zᵊmān","time; turn",,,,,,,,,,,,
1,"ZMN[","זמן ","ZMN",,,,,,,,,"agree",,,,
4,"ZMR/","זְמָר I","zᵊmār","music for strings",,,,,,,,,,,,
1,"ZMR=/","זַמָּר II","zammār","musician, singer",,,,,,,,,,,,
4,"ZN/","זַן ","zan","sort",,,,,,,,,,,,
1,"Z<JR/","זְעֵיר ","zᵊʕêr","small",,,,,,,,,,,,
1,"Z<Q[","זעק ","ZʕQ",,"cry",,,,,,,,,,,
1,"ZQP[","זקף ","ZQF",,"be impaled",,,,,,,,,,,
1,"ZRBBL/","זְרֻבָּבֶל ","zᵊrubbāvel","Zerubbabel",,,,,,,,,,,,
1,"ZR</","זְרַע ","zᵊraʕ","seed, offspring",,,,,,,,,,,,
1,"XBWLH/","חֲבוּלָה ","ḥᵃvûlāʰ","crime",,,,,,,,,,,,
3,"XBL/","חֲבָל ","ḥᵃvāl","hurt, damage",,,,,,,,,,,,
6,"XBL[","חבל ","ḤVL",,,,"harm, destroy",,,,,,"be destroyed",,,
3,"XBR/","חֲבַר ","ḥᵃvar","companion",,,,,,,,,,,,
1,"XBRH/","חַבְרָה ","ḥavrāʰ","companion",,,,,,,,,,,,
2,"XGJ/","חַגַּי ","ḥaggay","Haggai",,,,,,,,,,,,
14,"XD/","חַד ","ḥad","one; time",,,,,,,,,,,,
1,"XDH/","חֲדֵה ","ḥᵃdēʰ","breast",,,,,,,,,,,,
1,"XDWH/","חֶדְוָה ","ḥedwāʰ","joy",,,,,,,,,,,,
1,"XDT/","חֲדַת ","ḥᵃdat","new",,,,,,,,,,,,
15,"XWH[","חוה ","ḤWH",,,,"make known","make known","make known",,,,,,,
1,"XWR/","חִוָּר ","ḥiwwār","white",,,,,,,,,,,,
31,"XZH[","חזה ","ḤZH",,"see; proper, customary",,,,,,,,,,,
12,"XZW/","חֱזוּ ","ḥᵉzû","vision; appearance",,,,,,,,,,,,
2,"XZWT/","חֲזֹות ","ḥᵃzôt","appearance; it was to be seen",,,,,,,,,,,,
1,"XV>/","חֲטָא ","ḥᵃṭāˀ","sin",,,,,,,,,,,,
1,"XV>H/","חַטָּאָה ","ḥaṭṭāʔāʰ","sin-offering",,,,,,,,,,,,
5,"XJ/","חַי ","ḥay","living",,,,,,,,,,,,
6,"XJH[","חיה ","ḤYH",,"live",,,"let live",,,,,,,,
20,"XJWH/","חֵיוָה ","ḥêwāʰ","animal; animals",,,,,,,,,,,,
2,"XJJN/","חַיִּין ","ḥayyîn","life",,,,,,,,,,,,
7,"XJL/","חַיִל ","ḥayil","strength; army",,,,,,,,,,,,
14,"XKJM/","חַכִּים ","ḥakkîm","wise",,,,,,,,,,,,
8,"XKMH/","חָכְמָה ","ḥāxmāʰ","wisdom",,,,,,,,,,,,
22,"XLM/","חֵלֶם ","ḥēlem","dream",,,,,,,,,,,,
4,"XLP[","חלף ","ḤLF",,"pass by",,,,,,,,,,,
3,"XLQ/","חֲלָק ","ḥᵃlāq","share",,,,,,,,,,,,
2,"XMH/","חֲמָה ","ḥᵃmāʰ","rage",,,,,,,,,,,,
6,"XMR/","חֲמַר ","ḥᵃmar","wine",,,,,,,,,,,,
2,"XNVH/","חִנְטָה ","ḥinṭāʰ","wheat",,,,,,,,,,,,
4,"XNKH/","חֲנֻכָּה ","ḥᵃnukkāʰ","dedication",,,,,,,,,,,,
2,"XNN[","חנן ","ḤNN",,"show mercy",,,,,,,,"implore",,,
1,"XNNJH/","חֲנַנְיָה ","ḥᵃnanyāʰ","Hananiah",,,,,,,,,,,,
1,"XSJR/","חַסִּיר ","ḥassîr","lacking",,,,,,,,,,,,
2,"XSN/","חֱסֵן ","ḥᵉsēn","power",,,,,,,,,,,,
2,"XSN[","חסן ","ḤSN",,,,,"possess",,,,,,,,
9,"XSP/","חֲסַף ","ḥᵃsaf","clay",,,,,,,,,,,,
2,"XYP[","חצף ","ḤṢF",,,,,"be harsh",,,,,,,,
1,"XRB[","חרב ","ḤRV",,,,,,,,"be destroyed",,,,,
5,"XRVM/","חַרְטֹּם ","ḥarṭṭōm","magician",,,,,,,,,,,,
1,"XRK[","חרך ","ḤRX",,,,,,,,,,"be singed",,,
1,"XRY/","חֲרַץ ","ḥᵃraṣ","hip",,,,,,,,,,,,
1,"XCB[","חשׁב ","ḤŠV",,"be accounted",,,,,,,,,,,
1,"XCWK/","חֲשֹׁוךְ ","ḥᵃšôx","darkness",,,,,,,,,,,,
1,"XCX[","חשׁח ","ḤŠḤ",,"be in need of",,,,,,,,,,,
1,"XCXH/","חַשְׁחָה ","ḥašḥāʰ","need",,,,,,,,,,,,
1,"XCXW/","חַשְׁחוּ ","ḥašḥû","need",,,,,,,,,,,,
1,"XCL[","חשׁל ","ḤŠL",,"grind",,,,,,,,,,,
1,"XTM[","חתם ","ḤTM",,"seal",,,,,,,,,,,
1,"V>B[","טאב ","ṬʔV",,"be good",,,,,,,,,,,
2,"VB/","טָב ","ṭāv","good",,,,,,,,,,,,
1,"VBX/","טַבַּח ","ṭabbaḥ","executioner; bodyguard",,,,,,,,,,,,
2,"VWR/","טוּר ","ṭûr","mountain",,,,,,,,,,,,
1,"VWT","טְוָת ","ṭᵊwāt","fastingly, hungrily",,,,,,,,,,,,
2,"VJN/","טִין ","ṭîn","clay",,,,,,,,,,,,
5,"VL/","טַל ","ṭal","dew",,,,,,,,,,,,
1,"VLL[","טלל ","ṬLL",,,,,"seek shade",,,,,,,,
30,"V<M/","טְעֵם ","ṭᵊʕēm","taste; judgment; command",,,,,,,,,,,,
3,"V<M[","טעם ","ṬʕM",,,,"feed",,,,,,,,,
2,"VPR/","טְפַר ","ṭᵊfar","nail, claw",,,,,,,,,,,,
4,"VRD[","טרד ","ṬRD",,"drive away","driven away",,,,,,,,,,
1,"VRPLJ/","טַרְפְּלָי ","ṭarpᵊlāʸ","<type of official>",,,,,,,,,,,,
3,"JBL[","יבל ","YVL",,,,,"bring; offer",,,,,,,,
1,"JBCH/","יַבְּשָׁה ","yabbᵊšāʰ","land",,,,,,,,,,,,
1,"JGR/","יְגַר ","yᵊgar","heap of stones",,,,,,,,,,,,
17,"JD/","יַד ","yad","hand; power",,,,,,,,,,,,
2,"JDH[","ידה ","YDH",,,,,"praise",,,,,,,,
47,"JD<[","ידע ","YDʕ",,"know",,,"inform",,,,,,,,
28,"JHB[","יהב ","YHV",,"give; place","be given; lay",,,,,,"be given",,,,
7,"JHWD/","יְהוּד ","yᵊhûd","Judah",,,,,,,,,,,,
10,"JHWDJ/","יְהוּדָי ","yᵊhûdāʸ","Jew",,,,,,,,,,,,
16,"JWM/","יֹום ","yôm","day",,,,,,,,,,,,
1,"JWYDQ/","יֹוצָדָק ","yôṣādāq","Jozadak",,,,,,,,,,,,
9,"JZB[","יזב ","YZV",,,,,,,"save",,,,,,
1,"JXV[","יחט ","YḤṬ",,,,"dig?",,,,,,,,,
1,"JVB[","יטב ","YṬV",,"be pleasing",,,,,,,,,,,
12,"JKL[","יכל ","YXL",,"be able; prevail",,,,,,,,,,,
2,"JM/","יַם ","yam","sea",,,,,,,,,,,,
1,"JSP[","יסף ","YSF",,,,,,,,"be added",,,,,
3,"J<V[","יעט ","YʕṬ",,"advise; counsellor",,,,,,,,,,,"take counsel with each other"
1,"JY>[","יצא ","YṢʔ",,,,,,,"finish",,,,,,
1,"JYB[","יצב ","YṢV",,,,"make certain",,,,,,,,,
5,"JYJB/","יַצִּיב ","yaṣṣîv","reliable",,,,,,,,,,,,
8,"JQD[","יקד ","YQD",,"burn",,,,,,,,,,,
1,"JQDH/","יְקֵדָה ","yᵊqēdāʰ","burning",,,,,,,,,,,,
2,"JQJR/","יַקִּיר ","yaqqîr","difficult; honourable",,,,,,,,,,,,
7,"JQR/","יְקָר ","yᵊqār","dignity",,,,,,,,,,,,
26,"JRWCLM/","יְרוּשְׁלֶם ","yᵊrûšlem","Jerusalem",,,,,,,,,,,,
2,"JRX/","יְרַח ","yᵊraḥ","month",,,,,,,,,,,,
1,"JRKH/","יַרְכָה ","yarxāʰ","thigh",,,,,,,,,,,,
1,"JCW</","יֵשׁוּעַ ","yēšûₐʕ","Jeshua",,,,,,,,,,,,
8,"JFR>L/","יִשְׂרָאֵל ","yiśrāʔēl","Israel",,,,,,,,,,,,
1,"JT","יָת ","yāt","<object marker>",,,,,,,,,,,,
5,"JTB[","יתב ","YTV",,"sit; dwell",,,"cause to dwell",,,,,,,,
