"Occurrences","lex","Lexeme","Transliterated","None","Peal","Peil","Pael","Hafel","Afel","Shafel","Hofal","Hitpeel","Hitpaal","Hishtafal","Etpeel","Etpaal"
8,"JTJR/","יַתִּיר ","yattîr","extraordinary; exceedingly",,,,,,,,,,,,
63,"K","כְּ ","kᵊ","like; according to; about",,,,,,,,,,,,
1,"KDBH/","כִּדְבָה ","kidvāʰ","lie",,,,,,,,,,,,
1,"KH","כָּה ","kāʰ","here",,,,,,,,,,,,
4,"KHL[","כהל ","KHL",,"be able",,,,,,,,,,,
8,"KHN/","כָּהֵן ","kāhēn","priest",,,,,,,,,,,,
1,"KWH/","כַּוָּה ","kawwāʰ","window",,,,,,,,,,,,
8,"KWRC/","כֹּורֶשׁ ","kôreš","Cyrus",,,,,,,,,,,,
1,"KKR/","כַּכַּר ","kakkar","talent <measure of weight>",,,,,,,,,,,,
83,"KL/","כֹּל ","kōl","totality; whole; every",,,,,,,,,,,,
7,"KLL[","כלל ","KLL",,,,,,,"complete",,,,"be completed",,
8,"KN","כֵּן ","kēn","thus",,,,,,,,,,,,
5,"KNM>","כְּנֵמָא ","kᵊnēmāˀ","thus",,,,,,,,,,,,
3,"KNC[","כנשׁ ","KNŠ",,"gather",,,,,,,,"be assembled",,,
7,"KNT/","כְּנָת ","kᵊnāt","colleague",,,,,,,,,,,,
13,"KSP/","כְּסַף ","kᵊsaf","silver",,,,,,,,,,,,
13,"K<N","כְּעַן ","kᵊʕan","now",,,,,,,,,,,,
3,"K<NT","כְּעֶנֶת ","kᵊʕenet","now then",,,,,,,,,,,,
1,"K<T","כְּעֶת ","kᵊʕet","and now",,,,,,,,,,,,
4,"KPT[","כפת ","KFT",,,"be bound","bind",,,,,,,,,
1,"KR/","כֹּר ","kōr","cor <dry measure>",,,,,,,,,,,,
1,"KRBLH/","כַּרְבְּלָה ","karbᵊlāʰ","hat",,,,,,,,,,,,
1,"KRH[","כרה ","KRH",,,,,,,,,,,,"be distressed",
1,"KRWZ/","כָּרֹוז ","kārôz","herald",,,,,,,,,,,,
1,"KRZ[","כרז ","KRZ",,,,,"proclaim",,,,,,,,
3,"KRS>/","כָּרְסֵא ","kārsēˀ","chair, throne",,,,,,,,,,,,
9,"KFDJ/","כַּשְׂדָּי ","kaśdāʸ","Chaldean",,,,,,,,,,,,
12,"KTB/","כְּתָב ","kᵊtāv","writing; document; requirement",,,,,,,,,,,,
8,"KTB[","כתב ","KTV",,"write",,,,,,,,,,,
2,"KTL/","כְּתַל ","kᵊtal","wall",,,,,,,,,,,,
378,"L","לְ ","lᵊ","to; for; in regard to; <object marker>",,,,,,,,,,,,
82,"L>","לָא ","lāˀ","not",,,,,,,,,,,,
1,"LB/","לֵב ","lēv","heart",,,,,,,,,,,,
7,"LBB/","לְבַב ","lᵊvav","heart",,,,,,,,,,,,
2,"LBWC/","לְבוּשׁ ","lᵊvûš","garment",,,,,,,,,,,,
3,"LBC[","לבשׁ ","LVŠ",,"wear",,,"clothe",,,,,,,,
3,"LHN","לָהֵן I","lāhēn","therefore",,,,,,,,,,,,
7,"LHN=","לָהֵן II","lāhēn","except, but",,,,,,,,,,,,
4,"LWJ/","לֵוָי ","lēwāʸ","Levite",,,,,,,,,,,,
1,"LWT","לְוָת ","lᵊwāt","with",,,,,,,,,,,,
1,"LXM/","לְחֶם ","lᵊḥem","meal",,,,,,,,,,,,
3,"LXNH/","לְחֵנָה ","lᵊḥēnāʰ","concubine",,,,,,,,,,,,
5,"LJLJ/","לֵילֵי ","lêlê","night",,,,,,,,,,,,
7,"LCN/","לִשָּׁן ","liššān","tongue, language; people",,,,,,,,,,,,
8,"M>H/","מְאָה ","mᵊʔāʰ","hundred",,,,,,,,,,,,
1,"M>ZN>/","מֹאזְנֵא ","mōˀznēˀ","balance",,,,,,,,,,,,
2,"M>MR/","מֵאמַר ","mēˀmar","word, order",,,,,,,,,,,,
7,"M>N/","מָאן ","māˀn","vessel",,,,,,,,,,,,
1,"MGLH/","מְגִלָּה ","mᵊgillāʰ","scroll",,,,,,,,,,,,
1,"MGR[","מגר ","MGR",,,,"overthrow",,,,,,,,,
1,"MDBX/","מַדְבַּח ","madbaḥ","altar",,,,,,,,,,,,
4,"MDH/","מִדָּה ","middāʰ","tax",,,,,,,,,,,,
4,"MDWR/","מְדֹור ","mᵊdôr","dwelling",,,,,,,,,,,,
5,"MDJ/","מָדַי I","māday","Media",,,,,,,,,,,,
1,"MDJ=/","מָדַי II","māday","Median",,,,,,,,,,,,
11,"MDJNH/","מְדִינָה ","mᵊdînāʰ","province",,,,,,,,,,,,
14,"MH","מָה ","māʰ","what",,,,,,,,,,,,
1,"MWT/","מֹות ","môt","death",,,,,,,,,,,,
2,"MZWN/","מָזֹון ","māzôn","food",,,,,,,,,,,,
4,"MX>[","מחא ","MḤʔ",,"hit",,"hinder",,,,,"be nailed to a stake",,,,
1,"MXLQH/","מַחְלְקָה ","maḥlᵊqāʰ","division",,,,,,,,,,,,
8,"MV>[","מטא ","MṬʔ",,"arrive; reach; happen to",,,,,,,,,,,
1,"MJC>L/","מִישָׁאֵל ","mîšāʔēl","Mishael",,,,,,,,,,,,
14,"MJCK/","מֵישַׁךְ ","mêšax","Meshach",,,,,,,,,,,,
2,"ML>[","מלא ","MLʔ",,"fill",,,,,,,"be filled",,,,
2,"ML>K/","מַלְאַךְ ","malʔax","angel",,,,,,,,,,,,
24,"MLH/","מִלָּה ","millāʰ","word, matter",,,,,,,,,,,,
3,"MLX/","מְלַח ","mᵊlaḥ","salt",,,,,,,,,,,,
1,"MLX[","מלח ","MLḤ",,"eat salt, be under obligation",,,,,,,,,,,
180,"MLK/","מֶלֶךְ I","melex","king",,,,,,,,,,,,
1,"MLK=/","מְלַךְ II","mᵊlax","advise",,,,,,,,,,,,
2,"MLKH/","מַלְכָּה ","malkāʰ","queen",,,,,,,,,,,,
57,"MLKW/","מַלְכוּ ","malxû","reign; kingdom",,,,,,,,,,,,
5,"MLL[","מלל ","MLL",,,,"speak",,,,,,,,,
119,"MN","מִן I","min","from; more than; since; according to",,,,,,,,,,,,
10,"MN=","מַן II","man","who; whoever",,,,,,,,,,,,
3,"MN>/","מְנֵא ","mᵊnēˀ","mina <measure of weight>",,,,,,,,,,,,
4,"MND</","מַנְדַּע ","mandaʕ","knowledge",,,,,,,,,,,,
5,"MNH[","מנה ","MNH",,"count",,"appoint",,,,,,,,,
2,"MNXH/","מִנְחָה ","minḥāʰ","offering",,,,,,,,,,,,
1,"MNJN/","מִנְיָן ","minyān","number",,,,,,,,,,,,
1,"M<BD/","מַעֲבָד ","maʕᵃvād","work, deed",,,,,,,,,,,,
1,"M<H/","מְעֵה ","mᵊʕēʰ","belly",,,,,,,,,,,,
1,"M<L/","מֶעַל ","meʕal","going in; sunset",,,,,,,,,,,,
4,"MR>/","מָרֵא ","mārēˀ","lord",,,,,,,,,,,,
1,"MRD/","מְרַד I","mᵊrad","rebellion",,,,,,,,,,,,
2,"MRD=/","מָרָד II","mārād","rebellious",,,,,,,,,,,,
1,"MRV[","מרט ","MRṬ",,,"plucked off",,,,,,,,,,
1,"MCH/","מֹשֶׁה ","mōšeʰ","Moses",,,,,,,,,,,,
2,"MCX/","מְשַׁח ","mᵊšaḥ","oil",,,,,,,,,,,,
6,"MCKB/","מִשְׁכַּב ","miškav","bed",,,,,,,,,,,,
1,"MCKN/","מִשְׁכַּן ","miškan","dwelling",,,,,,,,,,,,
4,"MCRWQJ/","מַשְׁרֹוקִי ","mašrôqî","pipe",,,,,,,,,,,,
1,"MCT>/","מִשְׁתֵּא ","mištēˀ","banquet",,,,,,,,,,,,
3,"MTNH/","מַתְּנָה ","mattᵊnāʰ","gift",,,,,,,,,,,,
1,"NB>[","נבא ","NVʔ",,,,,,,,,,"prophesy",,,
1,"NBW>H/","נְבוּאָה ","nᵊvûʔāʰ","prophecy",,,,,,,,,,,,
31,"NBWKDNYR/","נְבוּכַדְנֶצַּר ","nᵊvûxadneṣṣar","Nebuchadnezzar",,,,,,,,,,,,
2,"NBZBH/","נְבִזְבָּה ","nᵊvizbāʰ","present",,,,,,,,,,,,
4,"NBJ>/","נְבִיא ","nᵊvîʔ","prophet",,,,,,,,,,,,
1,"NBRCH/","נֶבְרְשָׁה ","nevrᵊšāʰ","candlestick",,,,,,,,,,,,
1,"NGD/","נֶגֶד ","neged","toward, facing",,,,,,,,,,,,
1,"NGD[","נגד ","NGD",,"flow",,,,,,,,,,,
1,"NGH/","נְגַהּ ","nᵊgah","brightness",,,,,,,,,,,,
4,"NDB[","נדב ","NDV",,,,,,,,,,"be willing; offer",,,
2,"NDBK/","נִדְבָּךְ ","nidbāx","layer",,,,,,,,,,,,
1,"NDD[","נדד ","NDD",,"flee",,,,,,,,,,,
1,"NDNH/","נִדְנֶה ","nidneʰ","sheath, body?",,,,,,,,,,,,
