"Occurrences","lex","Lexeme","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
1,"FWBK/","שֹׂובֶךְ ",,,,,,,,,,,,,,,,,
9,"CWBL/","שֹׁובָל ",,,,,,,,,,,,,,,,,
1,"CWBQ/","שֹׁובֵק ",,,,,,,,,,,,,,,,,
1,"FWG[","שׂוג ",,,,,,,,,,,,,,,,,
1,"CWH/","שָׁוֵה I",,,,,,,,,,,,,,,,,
1,"CWH=/","שָׁוֵה II",,,,,,,,,,,,,,,,,
5,"CWH=[","שׁוה II",,,,,,,,,,,,,,,,,
16,"CWH[","שׁוה I",,"være ligesom",,,,,,,,,,,,,,,
2,"CWX/","שׁוּחַ ",,,,,,,,,,,,,,,,,
1,"CWX[","שׁוח ",,,,,,,,,,,,,,,,,
1,"FWX[","שׂוח ",,,,,,,,,,,,,,,,,
5,"CWXH/","שׁוּחָה I",,,,,,,,,,,,,,,,,
1,"CWXH=/","שׁוּחָה II",,,,,,,,,,,,,,,,,
5,"CWXJ/","שׁוּחִי ",,,,,,,,,,,,,,,,,
1,"CWXM/","שׁוּחָם ",,,,,,,,,,,,,,,,,
2,"CWXMJ/","שׁוּחָמִי ",,,,,,,,,,,,,,,,,
8,"CWV/","שֹׁוט I",,,,,,,,,,,,,,,,,
3,"CWV=/","שֹׁוט II",,,,,,,,,,,,,,,,,
3,"CWV=[","שׁוט II",,,,,,,,,,,,,,,,,
13,"CWV[","שׁוט I",,,,,,,,,,,,,,,,,
1,"FWV[","שׂוט ",,,,,,,,,,,,,,,,,
1,"FWK/","שֹׂוךְ ",,,,,,,,,,,,,,,,,
2,"FWK[","שׂוך ",,,,,,,,,,,,,,,,,
1,"FWKH/","שֹׂוכָה I",,,,,,,,,,,,,,,,,
8,"FWKH=/","שֹׂוכֹה II",,,,,,,,,,,,,,,,,
1,"FWKTJ/","שׂוּכָתִי ",,,,,,,,,,,,,,,,,
11,"CWL/","שׁוּל ",,,,,,,,,,,,,,,,,
3,"CWLL/","שֹׁולָל ",,,,,,,,,,,,,,,,,
2,"CWLMJ/","שׁוּלַמִּי ",,,,,,,,,,,,,,,,,
1,"CWMJM/","שׁוּמִים ",,,,,,,,,,,,,,,,,
1,"CWMR/","שֹׁומֵר ",,,,,,,,,,,,,,,,,
1,"CWNJ/","שׁוּנִי I",,,,,,,,,,,,,,,,,
2,"CWNJ=/","שׁוּנִי II",,,,,,,,,,,,,,,,,
3,"CWNM/","שׁוּנֵם ",,,,,,,,,,,,,,,,,
8,"CWNMJ/","שׁוּנַמִּי ",,,,,,,,,,,,,,,,,
2,"CW</","שֹׁועַ I",,,,,,,,,,,,,,,,,
2,"CW<=/","שׁוּעַ II",,,,,,,,,,,,,,,,,
1,"CW<==/","שֶׁוַע III",,,,,,,,,,,,,,,,,
3,"CW<===/","שׁוּעַ IV",,,,,,,,,,,,,,,,,
