"Occurrences","Lexeme","Part of speech","Gloss"
15,"Baptista","noun",""
75,"baptizo","verb",""
1,"Bar Iona","proper_noun",""
11,"Barabbas","proper_noun",""
1,"Barachias","proper_noun",""
2,"barbarus","adjective",""
3,"barbarus","noun",""
1,"Bariesus","proper_noun",""
26,"Barnabas","proper_noun",""
2,"Barsabban","proper_noun",""
4,"Bartholomeus","proper_noun",""
1,"Bartimeus","proper_noun",""
1,"basis","noun",""
3,"beatitudo","noun",""
44,"beatus","adjective",""
7,"Beelzebub","proper_noun",""
1,"Belial","proper_noun",""
7,"bellum","noun",""
32,"bene","adverb",""
28,"benedico","verb",""
13,"benedictio","noun",""
16,"benedictus","adjective",""
10,"benefacio","verb",""
1,"benefactum","noun",""
1,"beneficus","adjective",""
2,"beneplaceo","verb",""
4,"Beniamin","proper_noun",""
3,"benignitas","noun",""
4,"benignus","adjective",""
1,"berillus","noun",""
3,"Bernice","proper_noun",""
2,"Beroea","proper_noun",""
1,"Beroensis","adjective",""
44,"bestia","noun",""
12,"Bethania","proper_noun",""
2,"Bethfage","proper_noun",""
8,"Bethleem","proper_noun",""
8,"Bethsaida","proper_noun",""
77,"bibo","verb",""
2,"biduum","noun",""
3,"biennium","noun",""
2,"bilibris","adjective",""
1,"bimatus","noun",""
3,"bini","adjective",""
6,"bis","adverb",""
1,"bithalassus","adjective",""
1,"Bithynia","proper_noun",""
1,"bivium","noun",""
16,"blasphemia","noun",""
28,"blasphemo","verb",""
1,"Blastus","proper_noun",""
1,"Boanerges","proper_noun",""
7,"bonitas","noun",""
183,"bonus","adjective",""
3,"Booz","proper_noun",""
7,"bos","noun",""
1,"botrus","noun",""
3,"bracchium","noun",""
2,"bravium","noun",""
6,"brevio","verb",""
3,"brevis","adjective",""
1,"breviter","adverb",""
2,"buccella","noun",""
4,"byssinum","noun",""
1,"byssum","noun",""
1,"byssus","noun",""
71,"cado","verb",""
1,"cadus","noun",""
3,"caecitas","noun",""
1,"caeco","verb",""
49,"caecus","adjective",""
1,"caedes","noun",""
32,"caedo","verb",""
21,"caelestis","adjective",""
261,"caelum","noun",""
28,"Caesar","proper_noun",""
17,"Caesarea","proper_noun",""
9,"Caiaphas","proper_noun",""
1,"Cain","proper_noun",""
2,"Cainan","proper_noun",""
2,"calamus","noun",""
1,"calcaneum","noun",""
10,"calceamentum","noun",""
2,"calceatus","adjective",""
1,"calcio","verb",""
1,"calcitro","verb",""
5,"calco","verb",""
2,"calculus","noun",""
4,"calefacio","verb",""
1,"calefio","verb",""
3,"calidus","adjective",""
2,"caligo","noun",""
31,"calix","noun",""
1,"calor","noun",""
1,"calumnia","noun",""
2,"calumnio","verb",""
4,"Calvaria","proper_noun",""
6,"camelus","noun",""
3,"caminus","noun",""
1,"campester","adjective",""
4,"Cana","proper_noun",""
2,"Cananeus","adjective",""
1,"Candaces","proper_noun",""
11,"candelabrum","noun",""
10,"candidus","adjective",""
6,"canis","noun",""
15,"cano","verb",""
6,"canticum","noun",""
17,"canto","verb",""
1,"cantus","noun",""
16,"Capharnaum","proper_noun",""
12,"capillus","noun",""
17,"capio","verb",""
1,"Cappadocia","proper_noun",""
1,"captio","noun",""
4,"captivitas","noun",""
1,"captivo","verb",""
1,"captivus","adjective",""
2,"captivus","noun",""
2,"captura","noun",""
73,"caput","noun",""
7,"caracter","noun",""
1,"carbo","noun",""
1,"carcedonius","noun",""
39,"carcer","noun",""
62,"caritas","noun",""
10,"carnalis","adjective",""
120,"caro","noun",""
1,"Carpus","proper_noun",""
20,"carus","adjective",""
21,"castellum","noun",""
3,"castigo","verb",""
2,"castitas","noun",""
1,"Castor","proper_noun",""
7,"castra","noun",""
1,"castro","verb",""
1,"castus","adjective",""
2,"catecizo","verb",""
2,"catellus","noun",""
10,"catena","noun",""
7,"cathedra","noun",""
2,"catinus","noun",""
5,"cauda","noun",""
1,"Cauda","proper_noun",""
1,"Caurus","proper_noun",""
32,"causa","noun",""
1,"causor","verb",""
1,"cautio","noun",""
7,"caveo","verb",""
1,"Cedron","proper_noun",""
1,"celeriter","adverb",""
1,"cellarium","noun",""
15,"cena","noun",""
7,"cenaculum","noun",""
2,"Cenchreae","proper_noun",""
5,"ceno","verb",""
3,"census","noun",""
1,"centeni","adjective",""
1,"centesimus","ordinal_numeral",""
1,"centiens","adverb",""
10,"centum","cardinal_numeral",""
4,"centum quadraginta quattuor","cardinal_numeral",""
1,"centum quinquaginta tres","cardinal_numeral",""
1,"centum viginti","cardinal_numeral",""
1,"centuplum","noun",""
1,"centuplus","adjective",""
22,"centurio","noun",""
7,"Cephas","proper_noun",""
3,"cerno","verb",""
1,"certamen","noun",""
2,"certe","adverb",""
2,"certo","verb",""
9,"certus","adjective",""
1,"cervical","noun",""
3,"cervix","noun",""
14,"cesso","verb",""
42,"ceterus","adjective",""
1,"cetus","noun",""
1,"Chaldaei","noun",""
2,"Chanaan","proper_noun",""
1,"chananeus","adjective",""
1,"charisma","noun",""
2,"Charra","proper_noun",""
1,"chasma","noun",""
1,"chirographum","noun",""
1,"Chius","proper_noun",""
1,"Chloe","proper_noun",""
1,"Cho","proper_noun",""
3,"chorus","noun",""
2,"Christianus","adjective",""
429,"Christus","proper_noun",""
1,"chrysolitus","noun",""
1,"chrysoprassus","noun",""
1,"Chuza","proper_noun",""
1,"cibo","verb",""
20,"cibus","noun",""
8,"Cilicia","proper_noun",""
1,"cilicinus","adjective",""
2,"cilicium","noun",""
2,"cingo","verb",""
2,"cinis","noun",""
1,"cinnamomum","noun",""
2,"circa","adverb",""
34,"circa","preposition",""
2,"circiter","adverb",""
10,"circuitus","noun",""
1,"circum","preposition",""
1,"circumamictus","adjective",""
14,"circumcido","verb",""
27,"circumcisio","noun",""
15,"circumdo","verb",""
1,"circumduco","verb",""
8,"circumeo","verb",""
3,"circumfero","verb",""
4,"circumfulgeo","verb",""
1,"circumlego","verb",""
2,"circumpono","verb",""
1,"circumsedeo","verb",""
7,"circumspicio","verb",""
7,"circumsto","verb",""
6,"circumvenio","verb",""
1,"Cis","proper_noun",""
4,"cithara","noun",""
2,"citharizo","verb",""
2,"citharoedus","noun",""
25,"cito","adverb",""
1,"cito","verb",""
5,"civis","noun",""
158,"civitas","noun",""
1,"clam","adverb",""
75,"clamo","verb",""
4,"clamor","noun",""
2,"clamys","noun",""
1,"clare","adverb",""
1,"claresco","verb",""
21,"clarifico","verb",""
16,"claritas","noun",""
1,"clarus","adjective",""
1,"Claudia","proper_noun",""
3,"Claudius","proper_noun",""
17,"claudo","verb",""
13,"claudus","adjective",""
6,"clavis","noun",""
2,"clavus","noun",""
1,"Clemens","proper_noun",""
1,"clementia","noun",""
1,"Cleopa","proper_noun",""
1,"Cleopas","proper_noun",""
2,"clibanus","noun",""
1,"Cnidus","proper_noun",""
1,"coacervo","verb",""
1,"coaedifico","verb",""
1,"coaequalis","adjective",""
1,"coagito","verb",""
1,"coangusto","verb",""
2,"coarto","verb",""
2,"coccineus","adjective",""
1,"coccinum","noun",""
2,"coccum","noun",""
79,"coepi","verb",""
6,"cofinus","noun",""
19,"cogitatio","noun",""
38,"cogito","verb",""
4,"cognatio","noun",""
11,"cognatus","adjective",""
2,"cognitio","noun",""
1,"cognitus","adjective",""
15,"cognomino","verb",""
137,"cognosco","verb",""
7,"cogo","verb",""
1,"coheres","noun",""
7,"cohors","noun",""
1,"coinquinatus","adjective",""
8,"coinquino","verb",""
1,"colaphizo","verb",""
3,"colaphus","noun",""
1,"collaboro","verb",""
1,"collactaneus","adjective",""
1,"collatio","noun",""
1,"collaudo","verb",""
2,"collecta","noun",""
18,"colligo","verb",""
2,"collis","noun",""
1,"colloquium","noun",""
3,"colloquor","verb",""
1,"colluctatio","noun",""
5,"collum","noun",""
1,"collyrium","noun",""
13,"colo","verb",""
1,"colonia","noun",""
5,"colonus","noun",""
1,"Colossae","proper_noun",""
10,"columba","noun",""
2,"columna","noun",""
2,"coma","noun",""
9,"comburo","verb",""
13,"comedo","verb",""
3,"comes","noun",""
2,"comesatio","noun",""
1,"comitatus","noun",""
3,"comitor","verb",""
1,"commanduco","verb",""
3,"commemoratio","noun",""
1,"commemoro","verb",""
1,"commendaticius","adjective",""
15,"commendo","verb",""
2,"commilito","noun",""
12,"comminor","verb",""
3,"comminuo","verb",""
3,"commisceo","verb",""
3,"commissura","noun",""
3,"committo","verb",""
1,"commodo","verb",""
1,"commonefacio","verb",""
1,"commoneo","verb",""
1,"commoratio","noun",""
2,"commorior","verb",""
1,"commoror","verb",""
7,"commoveo","verb",""
7,"communicatio","noun",""
10,"communico","verb",""
14,"communis","adjective",""
2,"commutatio","noun",""
1,"commuto","verb",""
1,"compar","adjective",""
4,"comparo","verb",""
3,"compatior","verb",""
3,"compello","verb",""
3,"comperio","verb",""
3,"compes","noun",""
1,"compingo","verb",""
6,"complaceo","verb",""
1,"complanto","verb",""
2,"complector","verb",""
7,"compleo","verb",""
1,"complexo","verb",""
1,"complures","adjective",""
1,"compono","verb",""
18,"compr(eh)endo","verb",""
5,"comprimo","verb",""
1,"comprobo","verb",""
1,"compunctio","noun",""
1,"compungo","verb",""
3,"computo","verb",""
2,"concaptivus","noun",""
1,"concedo","verb",""
1,"concido I","verb",""
1,"concido II","verb",""
21,"concilium","noun",""
4,"concipio","verb",""
1,"concisio","noun",""
8,"concito","verb",""
5,"concludo","verb",""
1,"concordo","verb",""
1,"concremo","verb",""
1,"concubitor","noun",""
1,"concubitus","noun",""
4,"conculco","verb",""
2,"concupio","verb",""
5,"concupiscentia","noun",""
