"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
5,">GGJ/","אֲגָגִי ","ʔᵃgāgî","Agagite",,,,,,,,,,,,,,,,
4,">GDH/","אֲגֻדָּה ","ʔᵃguddāʰ","band, bunch; vault?",,,,,,,,,,,,,,,,
1,">GWZ/","אֱגֹוז ","ʔᵉgôz","nut",,,,,,,,,,,,,,,,
1,">GWR/","אָגוּר ","ʔāgûr","Agur",,,,,,,,,,,,,,,,
1,">GWRH/","אֲגֹורָה ","ʔᵃgôrāʰ","payment",,,,,,,,,,,,,,,,
1,">GL/","אֵגֶל ","ʔēgel","drop",,,,,,,,,,,,,,,,
1,">GLJM/","אֶגְלַיִם ","ʔeglayim","Eglaim",,,,,,,,,,,,,,,,
9,">GM/","אֲגַם I","ʔᵃgam","reedy pool",,,,,,,,,,,,,,,,
1,">GM=/","אָגֵם II","ʔāgēm","sad",,,,,,,,,,,,,,,,
5,">GMWN/","אַגְמֹון ","ʔagmôn","rush",,,,,,,,,,,,,,,,
3,">GN/","אַגָּן ","ʔaggān","bowl",,,,,,,,,,,,,,,,
7,">GP/","אֲגַף ","ʔᵃgaf","troop",,,,,,,,,,,,,,,,
3,">GR[","אגר ","ʔGR",,"gather",,,,,,,,,,,,,,,
2,">GRVL/","אֲגַרְטָל ","ʔᵃgarṭāl","basket",,,,,,,,,,,,,,,,
2,">GRP/","אֶגְרֹף ","ʔegrōf","fist",,,,,,,,,,,,,,,,
10,">GRT/","אִגֶּרֶת ","ʔiggeret","(official, commercial) letter",,,,,,,,,,,,,,,,
2,">D/","אֵד ","ʔēd","stream?; mist?",,,,,,,,,,,,,,,,
1,">DB[","אדב ","ʔDV",,,,,,,"sicken",,,,,,,,,,
2,">DB>L/","אַדְבְּאֵל ","ʔadbᵊʔēl","Abdeel",,,,,,,,,,,,,,,,
1,">DD/","אֲדַד ","ʔᵃdad","Hadad",,,,,,,,,,,,,,,,
2,">DW/","אִדֹּו ","ʔiddô","Iddo",,,,,,,,,,,,,,,,
100,">DWM/","אֱדֹום ","ʔᵉdôm","Edom",,,,,,,,,,,,,,,,
335,">DWN/","אָדֹון I","ʔādôn","lord, master",,,,,,,,,,,,,,,,
1,">DWN=/","אַדֹּון II","ʔaddôn","Addon",,,,,,,,,,,,,,,,
1,">DWRJM/","אֲדֹורַיִם ","ʔᵃdôrayim","Adoraim",,,,,,,,,,,,,,,,
27,">DJR/","אַדִּיר ","ʔaddîr","mighty; nobles (n, pl)",,,,,,,,,,,,,,,,
1,">DLJ>/","אֲדַלְיָא ","ʔᵃdalyāˀ","Adalia",,,,,,,,,,,,,,,,
553,">DM/","אָדָם I","ʔādām","man",,,,,,,,,,,,,,,,
9,">DM=/","אָדֹם II","ʔādōm","red, brown",,,,,,,,,,,,,,,,
3,">DM==/","אֹדֶם III","ʔōdem","ruby? (red precious stone)",,,,,,,,,,,,,,,,
8,">DM===/","אָדָם IV","ʔādām","Adam",,,,,,,,,,,,,,,,
1,">DM====/","אָדָם V","ʔādām","Adam",,,,,,,,,,,,,,,,
10,">DM[","אדם ","ʔDM",,"be red",,,"dyed red, rubbed with reddle","look reddish","be red",,,,,,,,,,
6,">DMDM/","אֲדַמְדָּם ","ʔᵃdamdām","reddish",,,,,,,,,,,,,,,,
223,">DMH/","אֲדָמָה I","ʔᵃdāmāʰ","ground",,,,,,,,,,,,,,,,
5,">DMH=/","אַדְמָה II","ʔadmāʰ","Admah",,,,,,,,,,,,,,,,
3,">DMH==/","אֲדָמָה III","ʔᵃdāmāʰ","Adamah",,,,,,,,,,,,,,,,
12,">DMJ/","אֲדֹמִי ","ʔᵃdōmî","Edomite",,,,,,,,,,,,,,,,
1,">DMJ_HNQB/","אֲדָמִי הַנֶּקֶב ","ʔᵃdāmî hanneqev","Adami Nekeb",,,,,,,,,,,,,,,,
3,">DMNJ/","אַדְמֹנִי ","ʔadmōnî","red, red-brown",,,,,,,,,,,,,,,,
1,">DMT>/","אַדְמָתָא ","ʔadmātāˀ","Admatha",,,,,,,,,,,,,,,,
57,">DN/","אֶדֶן I","ʔeden","pedestal, socket",,,,,,,,,,,,,,,,
1,">DN=/","אַדָּן II","ʔaddān","Addon",,,,,,,,,,,,,,,,
438,">DNJ/","אֲדֹנָי ","ʔᵃdōnāʸ","Lord",,,,,,,,,,,,,,,,
3,">DNJ_BZQ/","אֲדֹנִי בֶזֶק ","ʔᵃdōnî vezeq","Adoni-Bezek",,,,,,,,,,,,,,,,
2,">DNJ_YDQ/","אֲדֹנִי צֶדֶק ","ʔᵃdōnî ṣedeq","Adoni-Zedek",,,,,,,,,,,,,,,,
7,">DNJH/","אֲדֹנִיָּה ","ʔᵃdōniyyāʰ","Adonijah",,,,,,,,,,,,,,,,
19,">DNJHW/","אֲדֹנִיָּהוּ ","ʔᵃdōniyyāhû","Adonijah",,,,,,,,,,,,,,,,
3,">DNJQM/","אֲדֹנִיקָם ","ʔᵃdōnîqām","Adonikam",,,,,,,,,,,,,,,,
2,">DNJRM/","אֲדֹנִירָם ","ʔᵃdōnîrām","Adoniram",,,,,,,,,,,,,,,,
2,">DR/","אֶדֶר I","ʔeder","majesty",,,,,,,,,,,,,,,,
8,">DR=/","אֲדָר II","ʔᵃdār","Adar (month)",,,,,,,,,,,,,,,,
1,">DR==/","אַדָּר III","ʔaddār","Addar",,,,,,,,,,,,,,,,
1,">DR===/","אַדָּר IV","ʔaddār","Addar",,,,,,,,,,,,,,,,
3,">DR[","אדר ","ʔDR",,,"be majestic",,,,"make glorious",,,,,,,,,,
2,">DRKWN/","אֲדַרְכֹּון ","ʔᵃdarkôn","drachma of gold (Persian coin)",,,,,,,,,,,,,,,,
2,">DRM/","אֲדֹרָם ","ʔᵃdōrām","Adoniram",,,,,,,,,,,,,,,,
1,">DRMLK/","אַדְרַמֶּלֶךְ I","ʔadrammelex","Adrammelech",,,,,,,,,,,,,,,,
2,">DRMLK=/","אַדְרַמֶּלֶךְ II","ʔadrammelex","Adrammelech",,,,,,,,,,,,,,,,
8,">DR<J/","אֶדְרֶעִי ","ʔedreʕî","Edrei",,,,,,,,,,,,,,,,
12,">DRT/","אַדֶּרֶת ","ʔadderet","splendor; robe",,,,,,,,,,,,,,,,
1,">DC[","אדשׁ ","ʔDŠ",,"<uncertain>",,,,,,,,,,,,,,,
2,">HB/","אֹהַב I","ʔōhav","display of love",,,,,,,,,,,,,,,,
2,">HB=/","אַהַב II","ʔahav","gift of love; charm",,,,,,,,,,,,,,,,
211,">HB[","אהב ","ʔHV",,"love, like","be lovable","be friend, lover",,,,,,,,,,,,,
36,">HBH/","אֲהָבָה ","ʔᵃhāvāʰ","love",,,,,,,,,,,,,,,,
2,">HD/","אֹהַד ","ʔōhad","Ohad",,,,,,,,,,,,,,,,
15,">HH","אֲהָהּ ","ʔᵃhāh","alas",,,,,,,,,,,,,,,,
3,">HW>/","אַהֲוָא ","ʔahᵃwāˀ","Ahava",,,,,,,,,,,,,,,,
9,">HWD/","אֵהוּד ","ʔēhûd","Ehud",,,,,,,,,,,,,,,,
3,">HJ","אֱהִי ","ʔᵉhî","where",,,,,,,,,,,,,,,,
345,">HL/","אֹהֶל I","ʔōhel","tent",,,,,,,,,,,,,,,,
1,">HL=/","אֹהֶל II","ʔōhel","Ohel",,,,,,,,,,,,,,,,
4,">HL==/","אָהָל III","ʔāhāl","aloe",,,,,,,,,,,,,,,,
1,">HL=[","אהל II","ʔHL",,,,,,,"be bright",,,,,,,,,,
3,">HL[","אהל I","ʔHL",,"pitch a tent",,"pitch a tent",,,,,,,,,,,,,
5,">HLH/","אָהֳלָה ","ʔāhᵒlāʰ","Oholah",,,,,,,,,,,,,,,,
5,">HLJ>B/","אָהֳלִיאָב ","ʔāhᵒlîʔāv","Oholiab",,,,,,,,,,,,,,,,
6,">HLJBH/","אָהֳלִיבָה ","ʔāhᵒlîvāʰ","Oholibah",,,,,,,,,,,,,,,,
7,">HLJBMH/","אָהֳלִיבָמָה I","ʔāhᵒlîvāmāʰ","Oholibamah",,,,,,,,,,,,,,,,
