"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
9,">DM=/","אָדֹם II","ʔādōm","rood(bruin)",,,,,,,,,,,,,,,,
3,">DM==/","אֹדֶם III","ʔōdem","edelsteen",,,,,,,,,,,,,,,,
8,">DM===/","אָדָם IV","ʔādām","Adam",,,,,,,,,,,,,,,,
1,">DM====/","אָדָם V","ʔādām","Adam (plaatsnaam)",,,,,,,,,,,,,,,,
10,">DM[","אדם ","ʔDM",,"rood zijn",,,"inwrijven met rode aarde","(rood) fonkelen","rood zijn, rood worden",,,,,,,,,,
6,">DMDM/","אֲדַמְדָּם ","ʔᵃdamdām","fel rood, rossig",,,,,,,,,,,,,,,,
223,">DMH/","אֲדָמָה I","ʔᵃdāmāʰ","aarde, land, onderwereld",,,,,,,,,,,,,,,,
5,">DMH=/","אַדְמָה II","ʔadmāʰ","Adma",,,,,,,,,,,,,,,,
3,">DMH==/","אֲדָמָה III","ʔᵃdāmāʰ","Adama",,,,,,,,,,,,,,,,
12,">DMJ/","אֲדֹמִי ","ʔᵃdōmî","Edomiet",,,,,,,,,,,,,,,,
1,">DMJ_HNQB/","אֲדָמִי הַנֶּקֶב ","ʔᵃdāmî hanneqev","Adami-Nekeb",,,,,,,,,,,,,,,,
3,">DMNJ/","אַדְמֹנִי ","ʔadmōnî","roodachtig",,,,,,,,,,,,,,,,
1,">DMT>/","אַדְמָתָא ","ʔadmātāˀ","Admata",,,,,,,,,,,,,,,,
57,">DN/","אֶדֶן I","ʔeden","voetstuk, sokkel",,,,,,,,,,,,,,,,
1,">DN=/","אַדָּן II","ʔaddān","Addan",,,,,,,,,,,,,,,,
438,">DNJ/","אֲדֹנָי ","ʔᵃdōnāʸ","Heer",,,,,,,,,,,,,,,,
3,">DNJ_BZQ/","אֲדֹנִי בֶזֶק ","ʔᵃdōnî vezeq","Adonibezek",,,,,,,,,,,,,,,,
2,">DNJ_YDQ/","אֲדֹנִי צֶדֶק ","ʔᵃdōnî ṣedeq","Adonisedek",,,,,,,,,,,,,,,,
7,">DNJH/","אֲדֹנִיָּה ","ʔᵃdōniyyāʰ","Adonia",,,,,,,,,,,,,,,,
19,">DNJHW/","אֲדֹנִיָּהוּ ","ʔᵃdōniyyāhû","?, Adonia",,,,,,,,,,,,,,,,
3,">DNJQM/","אֲדֹנִיקָם ","ʔᵃdōnîqām","Adonikam",,,,,,,,,,,,,,,,
2,">DNJRM/","אֲדֹנִירָם ","ʔᵃdōnîrām","Adoniram",,,,,,,,,,,,,,,,
2,">DR/","אֶדֶר I","ʔeder","pracht, glorie",,,,,,,,,,,,,,,,
8,">DR=/","אֲדָר II","ʔᵃdār","adar",,,,,,,,,,,,,,,,
1,">DR==/","אַדָּר III","ʔaddār","Addar",,,,,,,,,,,,,,,,
1,">DR===/","אַדָּר IV","ʔaddār","Addar",,,,,,,,,,,,,,,,
3,">DR[","אדר ","ʔDR",,,"in hoog aanzien staan",,,,"verheerlijken, bewijzen machtig te zijn",,,,,,,,,,
2,">DRKWN/","אֲדַרְכֹּון ","ʔᵃdarkôn","drachme",,,,,,,,,,,,,,,,
2,">DRM/","אֲדֹרָם ","ʔᵃdōrām","Adoram",,,,,,,,,,,,,,,,
1,">DRMLK/","אַדְרַמֶּלֶךְ I","ʔadrammelex","Adrammelech",,,,,,,,,,,,,,,,
2,">DRMLK=/","אַדְרַמֶּלֶךְ II","ʔadrammelex","Adrammelech",,,,,,,,,,,,,,,,
8,">DR<J/","אֶדְרֶעִי ","ʔedreʕî","Edreï",,,,,,,,,,,,,,,,
12,">DRT/","אַדֶּרֶת ","ʔadderet","pracht, mantel",,,,,,,,,,,,,,,,
1,">DC[","אדשׁ ","ʔDŠ",,"?",,,,,,,,,,,,,,,
2,">HB/","אֹהַב I","ʔōhav","minnespel",,,,,,,,,,,,,,,,
2,">HB=/","אַהַב II","ʔahav","[*], liefdesgift, gunst",,,,,,,,,,,,,,,,
211,">HB[","אהב ","ʔHV",,"houden van, liefhebben","geliefd zijn","geliefde zijn",,,,,,,,,,,,,
36,">HBH/","אֲהָבָה ","ʔᵃhāvāʰ","liefde",,,,,,,,,,,,,,,,
2,">HD/","אֹהַד ","ʔōhad","Ohad",,,,,,,,,,,,,,,,
15,">HH","אֲהָהּ ","ʔᵃhāh","ach!, nee toch!",,,,,,,,,,,,,,,,
3,">HW>/","אַהֲוָא ","ʔahᵃwāˀ","Ahawa",,,,,,,,,,,,,,,,
9,">HWD/","אֵהוּד ","ʔēhûd","Ehud",,,,,,,,,,,,,,,,
3,">HJ","אֱהִי ","ʔᵉhî","waar",,,,,,,,,,,,,,,,
345,">HL/","אֹהֶל I","ʔōhel","tent",,,,,,,,,,,,,,,,
1,">HL=/","אֹהֶל II","ʔōhel","Ohel",,,,,,,,,,,,,,,,
4,">HL==/","אָהָל III","ʔāhāl","[*], aloëhout",,,,,,,,,,,,,,,,
1,">HL=[","אהל II","ʔHL",,,,,,,"schijnen (maan)",,,,,,,,,,
3,">HL[","אהל I","ʔHL",,"?, een tent opzetten, recht op begrazing verkrijgen",,"?, een tent opzetten, recht op begrazing verkrijgen",,,,,,,,,,,,,
5,">HLH/","אָהֳלָה ","ʔāhᵒlāʰ","Ohola",,,,,,,,,,,,,,,,
5,">HLJ>B/","אָהֳלִיאָב ","ʔāhᵒlîʔāv","Oholiab",,,,,,,,,,,,,,,,
6,">HLJBH/","אָהֳלִיבָה ","ʔāhᵒlîvāʰ","Oholiba",,,,,,,,,,,,,,,,
7,">HLJBMH/","אָהֳלִיבָמָה I","ʔāhᵒlîvāmāʰ","Oholibama",,,,,,,,,,,,,,,,
1,">HLJBMH=/","אָהֳלִיבָמָה II","ʔāhᵒlîvāmāʰ","Oholibama",,,,,,,,,,,,,,,,
347,">HRN/","אַהֲרֹן ","ʔahᵃrōn","Aäron",,,,,,,,,,,,,,,,
320,">W","אֹו ","ʔô","of",,,,,,,,,,,,,,,,
1,">W>L/","אוּאֵל ","ʔûʔēl","Uel",,,,,,,,,,,,,,,,
16,">WB/","אֹוב I","ʔôv","geest van een dode",,,,,,,,,,,,,,,,
1,">WB=/","אֹוב II","ʔôv","zak",,,,,,,,,,,,,,,,
1,">WBJL/","אֹובִיל ","ʔôvîl","Obil",,,,,,,,,,,,,,,,
3,">WD/","אוּד ","ʔûd","blok(hout)",,,,,,,,,,,,,,,,
11,">WDWT/","אֹודֹות ","ʔôdôt","ter wille van",,,,,,,,,,,,,,,,
7,">WH/","אַוָּה ","ʔawwāʰ","verlangen",,,,,,,,,,,,,,,,
27,">WH[","אוה ","ʔWH",,,,"wensen, verlangen",,"smachten naar",,,,,,,,,,,
1,">WZJ/","אוּזַי ","ʔûzay","Uzai",,,,,,,,,,,,,,,,
3,">WZL/","אוּזָל ","ʔûzāl","Uzal",,,,,,,,,,,,,,,,
24,">WJ","אֹוי ","ʔôy","ach!, helaas!, wee!",,,,,,,,,,,,,,,,
2,">WJ/","אֱוִי ","ʔᵉwî","Ewi",,,,,,,,,,,,,,,,
1,">WJH","אֹויָה ","ʔôyāʰ","wee!",,,,,,,,,,,,,,,,
26,">WJL/","אֱוִיל ","ʔᵉwîl","dwaas (adj.), dwaas, gek",,,,,,,,,,,,,,,,
2,">WJL_MRDK/","אֱוִיל מְרֹדַךְ ","ʔᵉwîl mᵊrōdax","Ewil-Merodach",,,,,,,,,,,,,,,,
1,">WL/","אוּל ","ʔûl","buik",,,,,,,,,,,,,,,,
45,">WLJ","אוּלַי ","ʔûlay","misschien",,,,,,,,,,,,,,,,
1,">WLJ/","אֱוִלִי I","ʔᵉwilî","dwaas",,,,,,,,,,,,,,,,
2,">WLJ=/","אוּלַי II","ʔûlay","Ulai",,,,,,,,,,,,,,,,
19,">WLM","אוּלָם ","ʔûlām","daarentegen, aan de andere kant",,,,,,,,,,,,,,,,
4,">WLM/","אוּלָם ","ʔûlām","Ulam",,,,,,,,,,,,,,,,
25,">WLT/","אִוֶּלֶת ","ʔiwwelet","domheid, dwaasheid",,,,,,,,,,,,,,,,
3,">WMR/","אֹומָר ","ʔômār","Omar",,,,,,,,,,,,,,,,
11,">WN/","אֹון I","ʔôn","kracht, vermogen, rijkdom",,,,,,,,,,,,,,,,
78,">WN=/","אָוֶן II","ʔāwen","slechtheid, boosheid",,,,,,,,,,,,,,,,
1,">WN===/","אֹון IV","ʔôn","On",,,,,,,,,,,,,,,,
1,">WN====/","אָוֶן V","ʔāwen","?, On, NBV Heliopolis",,,,,,,,,,,,,,,,
5,">WNW/","אֹונֹו ","ʔônô","Ono",,,,,,,,,,,,,,,,
4,">WNM/","אֹונָם ","ʔônām","Onam",,,,,,,,,,,,,,,,
8,">WNN/","אֹונָן ","ʔônān","Onan",,,,,,,,,,,,,,,,
2,">WPZ/","אוּפָז ","ʔûfāz","Ufaz",,,,,,,,,,,,,,,,
12,">WPJR/","אֹופִיר I","ʔôfîr","Ofir",,,,,,,,,,,,,,,,
1,">WPJR=/","אֹופִיר II","ʔôfîr","Ofir",,,,,,,,,,,,,,,,
35,">WPN/","אֹופַן ","ʔôfan","wiel",,,,,,,,,,,,,,,,
10,">WY[","אוץ ","ʔWṢ",,"aansporen, haast hebben (+ ל)",,,,,"dringend verzoeken",,,,,,,,,,
79,">WYR/","אֹוצָר ","ʔôṣār","voorraad, schat, voorraadkamer",,,,,,,,,,,,,,,,
115,">WR/","אֹור I","ʔôr","licht",,,,,,,,,,,,,,,,
6,">WR=/","אוּר II","ʔûr","vuur, oosten",,,,,,,,,,,,,,,,
7,">WR==/","אוּר III","ʔûr","[*], urim",,,,,,,,,,,,,,,,
4,">WR===/","אוּר IV","ʔûr","Ur",,,,,,,,,,,,,,,,
1,">WR====/","אוּר V","ʔûr","Ur",,,,,,,,,,,,,,,,
49,">WR[","אור ","ʔWR",,"licht worden","verlicht worden",,,,"verlichten, licht geven",,,,,,,,,,
2,">WRH/","אֹורָה ","ʔôrāʰ","licht, helderheid",,,,,,,,,,,,,,,,
1,">WRWT/","אֲוֵרֹות ","ʔᵃwērôt","stal",,,,,,,,,,,,,,,,
7,">WRJ/","אוּרִי ","ʔûrî","Uri",,,,,,,,,,,,,,,,
4,">WRJ>L/","אוּרִיאֵל ","ʔûrîʔēl","Uriël",,,,,,,,,,,,,,,,
36,">WRJH/","אוּרִיָּה ","ʔûriyyāʰ","Uria",,,,,,,,,,,,,,,,
3,">WRJHW/","אוּרִיָּהוּ ","ʔûriyyāhû","?, Uria",,,,,,,,,,,,,,,,
79,">WT/","אֹות ","ʔôt","teken",,,,,,,,,,,,,,,,
4,">WT[","אות ","ʔWT",,,"instemmen met",,,,,,,,,,,,,,
141,">Z","אָז ","ʔāz","toen, eerder, sinds",,,,,,,,,,,,,,,,
1,">ZBJ/","אֶזְבָּי ","ʔezbāʸ","Ezbai",,,,,,,,,,,,,,,,
10,">ZWB/","אֵזֹוב ","ʔēzôv","marjolein",,,,,,,,,,,,,,,,
14,">ZWR/","אֵזֹור ","ʔēzôr","lendendoek",,,,,,,,,,,,,,,,
3,">ZJ","אֲזַי ","ʔᵃzay","dan",,,,,,,,,,,,,,,,
7,">ZKRH/","אַזְכָּרָה ","ʔazkārāʰ","?, askara",,,,,,,,,,,,,,,,
1,">ZL/","אֶזֶל ","ʔezel","?",,,,,,,,,,,,,,,,
4,">ZL[","אזל ","ʔZL",,"weggaan",,,,,,,,,,,,,,,
187,">ZN/","אֹזֶן I","ʔōzen","oor",,,,,,,,,,,,,,,,
1,">ZN=/","אָזֵן II","ʔāzēn","uitrusting",,,,,,,,,,,,,,,,
1,">ZN=[","אזן II","ʔZN",,,,"wegen",,,,,,,,,,,,,
41,">ZN[","אזן I","ʔZN",,,,,,,"luisteren, naar iemand luisteren",,,,,,,,,,
1,">ZN_C>RH/","אֻזֵּן שֶׁאֱרָה ","ʔuzzēn šeˀᵉrāʰ","Uzzen-Seëra",,,,,,,,,,,,,,,,
1,">ZNWT_TBWR/","אַזְנֹות תָּבֹור ","ʔaznôt tāvôr","Aznot-Tabor",,,,,,,,,,,,,,,,
1,">ZNJ/","אָזְנִי I","ʔāznî","Ozniet",,,,,,,,,,,,,,,,
1,">ZNJ=/","אָזְנִי II","ʔāznî","Ozni",,,,,,,,,,,,,,,,
1,">ZNJH/","אֲזַנְיָה ","ʔᵃzanyāʰ","Azanja",,,,,,,,,,,,,,,,
2,">ZQJM/","אֲזִקִּים ","ʔᵃziqqîm","handboeien",,,,,,,,,,,,,,,,
16,">ZR[","אזר ","ʔZR",,"omgorden","omgord zijn","(iets/iemand) nauw omsluiten",,"zich omgorden",,,,,,,,,,,
17,">ZRX/","אֶזְרָח ","ʔezrāḥ","inheems, burger",,,,,,,,,,,,,,,,
3,">ZRXJ/","אֶזְרָחִי ","ʔezrāḥî","Ezrachiet",,,,,,,,,,,,,,,,
2,">ZR</","אֶזְרֹעַ ","ʔezrōₐʕ","arm",,,,,,,,,,,,,,,,
3,">X","אָח ","ʔāḥ","helaas",,,,,,,,,,,,,,,,
629,">X/","אָח I","ʔāḥ","broer",,,,,,,,,,,,,,,,
1,">X=/","אֹחַ II","ʔōₐḥ","krijsend woestijndier",,,,,,,,,,,,,,,,
3,">X==/","אָח III","ʔāḥ","kolenbekken",,,,,,,,,,,,,,,,
93,">X>B/","אַחְאָב ","ʔaḥʔāv","Achab",,,,,,,,,,,,,,,,
1,">XBN/","אַחְבָּן ","ʔaḥbān","Achban",,,,,,,,,,,,,,,,
970,">XD/","אֶחָד ","ʔeḥād","één, een",,,,,,,,,,,,,,,,
1,">XD[","אחד ","ʔḤD",,,,,,"achteruit draaien",,,,,,,,,,,
3,">XW/","אָחוּ ","ʔāḥû","zeggemoeras",,,,,,,,,,,,,,,,
1,">XWD/","אֵחוּד ","ʔēḥûd","Echud",,,,,,,,,,,,,,,,
1,">XWH/","אַחֲוָה I","ʔaḥᵃwāʰ","broederschap",,,,,,,,,,,,,,,,
1,">XWH=/","אַחְוָה II","ʔaḥwāʰ","uiteenzetting",,,,,,,,,,,,,,,,
1,">XWX/","אֲחֹוחַ ","ʔᵃḥôₐḥ","Achoach",,,,,,,,,,,,,,,,
5,">XWXJ/","אֲחֹוחִי ","ʔᵃḥôḥî","Achoach",,,,,,,,,,,,,,,,
1,">XWMJ/","אֲחוּמַי ","ʔᵃḥûmay","Achumai",,,,,,,,,,,,,,,,
41,">XWR/","אָחֹור ","ʔāḥôr","achterkant, later (bijwoord)",,,,,,,,,,,,,,,,
114,">XWT/","אָחֹות ","ʔāḥôt","zus",,,,,,,,,,,,,,,,
1,">XZ/","אָחֻז I","ʔāḥuz","vasthouden",,,,,,,,,,,,,,,,
41,">XZ=/","אָחָז II","ʔāḥāz","Achaz",,,,,,,,,,,,,,,,
3,">XZ=[","אחז II","ʔḤZ",,"bedekken",,"bedekken",,,,,,,,,,,,,
65,">XZ[","אחז I","ʔḤZ",,"grijpen, vasthouden","vastgehouden worden",,,,,"vastmaken",,,,,,,,,
66,">XZH/","אֲחֻזָּה ","ʔᵃḥuzzāʰ","bezit, grondbezit",,,,,,,,,,,,,,,,
1,">XZJ/","אַחְזַי ","ʔaḥzay","Achzai",,,,,,,,,,,,,,,,
7,">XZJH/","אֲחַזְיָה ","ʔᵃḥazyāʰ","Achazja",,,,,,,,,,,,,,,,
30,">XZJHW/","אֲחַזְיָהוּ ","ʔᵃḥazyāhû","?, Achazja",,,,,,,,,,,,,,,,
1,">XZM/","אֲחֻזָּם ","ʔᵃḥuzzām","Achuzzam",,,,,,,,,,,,,,,,
1,">XZT/","אֲחֻזַּת ","ʔᵃḥuzzat","Achuzzat",,,,,,,,,,,,,,,,
1,">XJ/","אֵחִי I","ʔēḥî","Echi",,,,,,,,,,,,,,,,
2,">XJ=/","אֲחִי II","ʔᵃḥî","Achi",,,,,,,,,,,,,,,,
2,">XJ>M/","אֲחִיאָם ","ʔᵃḥîʔām","Achiam",,,,,,,,,,,,,,,,
19,">XJH/","אֲחִיָּה ","ʔᵃḥiyyāʰ","Achia",,,,,,,,,,,,,,,,
5,">XJHW/","אֲחִיָּהוּ ","ʔᵃḥiyyāhû","Achia",,,,,,,,,,,,,,,,
1,">XJHWD/","אֲחִיהוּד ","ʔᵃḥîhûd","Achihud",,,,,,,,,,,,,,,,
6,">XJW/","אַחְיֹו ","ʔaḥyô","Achio",,,,,,,,,,,,,,,,
1,">XJXD/","אֲחִיחֻד ","ʔᵃḥîḥud","Achichud",,,,,,,,,,,,,,,,
15,">XJVWB/","אֲחִיטוּב ","ʔᵃḥîṭûv","Achitub",,,,,,,,,,,,,,,,
5,">XJLWD/","אֲחִילוּד ","ʔᵃḥîlûd","Achilud",,,,,,,,,,,,,,,,
1,">XJMWT/","אֲחִימֹות ","ʔᵃḥîmôt","Achimot",,,,,,,,,,,,,,,,
17,">XJMLK/","אֲחִימֶלֶךְ ","ʔᵃḥîmelex","Achimelech",,,,,,,,,,,,,,,,
4,">XJMN/","אֲחִימַן ","ʔᵃḥîman","Achiman",,,,,,,,,,,,,,,,
15,">XJM<Y/","אֲחִימַעַץ ","ʔᵃḥîmaʕaṣ","Achimaäs",,,,,,,,,,,,,,,,
1,">XJN/","אַחְיָן ","ʔaḥyān","Achjan",,,,,,,,,,,,,,,,
1,">XJNDB/","אֲחִינָדָב ","ʔᵃḥînādāv","Achinadab",,,,,,,,,,,,,,,,
7,">XJN<M/","אֲחִינֹעַם ","ʔᵃḥînōʕam","Achinoam",,,,,,,,,,,,,,,,
3,">XJSMK/","אֲחִיסָמָךְ ","ʔᵃḥîsāmāx","Achisamach",,,,,,,,,,,,,,,,
6,">XJ<ZR/","אֲחִיעֶזֶר ","ʔᵃḥîʕezer","Achiëzer",,,,,,,,,,,,,,,,
20,">XJQM/","אֲחִיקָם ","ʔᵃḥîqām","Achikam",,,,,,,,,,,,,,,,
1,">XJRM/","אֲחִירָם ","ʔᵃḥîrām","Achiram",,,,,,,,,,,,,,,,
1,">XJRMJ/","אֲחִירָמִי ","ʔᵃḥîrāmî","Achiramiet",,,,,,,,,,,,,,,,
5,">XJR</","אֲחִירַע ","ʔᵃḥîraʕ","Achira",,,,,,,,,,,,,,,,
1,">XJCXR/","אֲחִישָׁחַר ","ʔᵃḥîšāḥar","Achisachar",,,,,,,,,,,,,,,,
1,">XJCR/","אֲחִישָׁר ","ʔᵃḥîšār","Achisar",,,,,,,,,,,,,,,,
20,">XJTPL/","אֲחִיתֹפֶל ","ʔᵃḥîtōfel","Achitofel",,,,,,,,,,,,,,,,
1,">XLB/","אַחְלָב ","ʔaḥlāv","Achlab",,,,,,,,,,,,,,,,
2,">XLJ","אַחֲלַי ","ʔaḥᵃlay","Ach, laat toch..",,,,,,,,,,,,,,,,
2,">XLJ/","אַחְלָי ","ʔaḥlāʸ","Achlai",,,,,,,,,,,,,,,,
2,">XLMH/","אַחְלָמָה ","ʔaḥlāmāʰ","jaspis",,,,,,,,,,,,,,,,
1,">XSBJ/","אֲחַסְבַּי ","ʔᵃḥasbay","Achasbai",,,,,,,,,,,,,,,,
715,">XR/","אַחַר I","ʔaḥar","achter, na, daarna",,,,,,,,,,,,,,,,
166,">XR=/","אַחֵר II","ʔaḥēr","ander, volgend",,,,,,,,,,,,,,,,
1,">XR==/","אַחֵר III","ʔaḥēr","Acher",,,,,,,,,,,,,,,,
