"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
130,"NFJ>/","נָשִׂיא I","nāśîʔ","Vorsteher",,,,,,,,,,,,,,,,
4,"NFJ>=/","נָשִׂיא II","nāśîʔ","Nebel",,,,,,,,,,,,,,,,
1,"NCJH/","נְשִׁיָּה ","nᵊšiyyāʰ","Vergessen",,,,,,,,,,,,,,,,
2,"NCJQH/","נְשִׁיקָה ","nᵊšîqāʰ","Kuss",,,,,,,,,,,,,,,,
12,"NCK/","נֶשֶׁךְ ","nešex","Zuschlag",,,,,,,,,,,,,,,,
5,"NCK=[","נשׁך II","NŠX",,"auf Zins Anspruch machen",,,,,"auf Zins geben",,,,,,,,,,
11,"NCK[","נשׁך I","NŠX",,"beißen",,"beißen",,,,,,,,,,,,,
3,"NCKH/","נִשְׁכָּה ","niškāʰ","Zimmer",,,,,,,,,,,,,,,,
7,"NCL[","נשׁל ","NŠL",,"sich loslösen, abziehen, vertreiben",,"vertreiben",,,,,,,,,,,,,
1,"NCM[","נשׁם ","NŠM",,"schnauben",,,,,,,,,,,,,,,
25,"NCMH/","נְשָׁמָה ","nᵊšāmāʰ","Atem",,,,,,,,,,,,,,,,
12,"NCP/","נֶשֶׁף ","nešef","abendliches, morgendliches Dunkel",,,,,,,,,,,,,,,,
2,"NCP[","נשׁף ","NŠF",,"blasen, anblasen",,,,,,,,,,,,,,,
10,"NCQ/","נֵשֶׁק ","nēšeq","Rüstzeug",,,,,,,,,,,,,,,,
3,"NCQ=[","נשׁק II","NŠQ",,"als Rüstung tragen",,,,,,,,,,,,,,,
32,"NCQ[","נשׁק I","NŠQ",,"küssen",,"küssen",,,"dicht berühren",,,,,,,,,,
3,"NFQ[","נשׂק ","NŚQ",,,"sich entzünden",,,,"anzünden",,,,,,,,,,
26,"NCR/","נֶשֶׁר ","nešer","Adler, Geier",,,,,,,,,,,,,,,,
3,"NCT[","נשׁת ","NŠT",,"austrocknen","ausgetrocknet werden",,,,,,,,,,,,,,
2,"NCTWN/","נִשְׁתְּוָן ","ništᵊwān","Brief",,,,,,,,,,,,,,,,
13,"NTX/","נֵתַח ","nētaḥ","Stück",,,,,,,,,,,,,,,,
9,"NTX[","נתח ","NTḤ",,,,"in Stücke schneiden",,,,,,,,,,,,,
5,"NTJB/","נָתִיב ","nātîv","Pfad",,,,,,,,,,,,,,,,
21,"NTJBH/","נְתִיבָה ","nᵊtîvāʰ","Pfad",,,,,,,,,,,,,,,,
17,"NTJN/","נָתִין ","nātîn","Tempelsklave",,,,,,,,,,,,,,,,
21,"NTK[","נתך ","NTX",,"sich ergießen","sich ergießen; zum Schmelzen gebracht werden",,,,"hingießen; zum Schmelzen bringen","geschmolzen werden",,,,,,,,,
42,"NTN/","נָתָן ","nātān","Natan",,,,,,,,,,,,,,,,
2010,"NTN[","נתן ","NTN",,"geben, legen, setzen","gegeben, gelegt werden",,,,,"gegeben, gelegt werden auf",,,,,,,,,
1,"NTN_MLK/","נְתַן מֶלֶךְ ","nᵊtan melex","Netan-Melech",,,,,,,,,,,,,,,,
14,"NTN>L/","נְתַנְאֵל ","nᵊtanʔēl","Netanel",,,,,,,,,,,,,,,,
15,"NTNJH/","נְתַנְיָה ","nᵊtanyāʰ","Netanja",,,,,,,,,,,,,,,,
5,"NTNJHW/","נְתַנְיָהוּ ","nᵊtanyāhû","Netanja",,,,,,,,,,,,,,,,
1,"NTS[","נתס ","NTS",,"aufreißen",,,,,,,,,,,,,,,
1,"NT<[","נתע ","NTʕ",,,"ausgeschlagen werden",,,,,,,,,,,,,,
42,"NTY[","נתץ ","NTṢ",,"einreißen, abbrechen","eingerissen werden","einreißen","niedergerissen werden",,,"eingerissen werden",,,,,,,,,
14,"NTQ/","נֶתֶק ","neteq","Krätze",,,,,,,,,,,,,,,,
27,"NTQ[","נתק ","NTQ",,"wegreißen; abziehen","losgerissen werden; sich abziehen lassen","zerreißen, ausreißen",,,"aussondern; abziehen","abgezogen werden",,,,,,,,,
2,"NTR/","נֶתֶר ","neter","Natron",,,,,,,,,,,,,,,,
8,"NTR[","נתר ","NTR",,"aufspringen, davonspringen",,"springen",,,"freigeben, zum Auffahren bringen",,,,,,,,,,
21,"NTC[","נתשׁ ","NTŠ",,"austreiben","ausgerissen werden",,,,,"ausgerissen werden",,,,,,,,,
9,"S>H/","סְאָה ","sᵊʔāʰ","Sea <Getreidemaß>",,,,,,,,,,,,,,,,
1,"S>WN/","סְאֹון ","sᵊʔôn","Stiefel",,,,,,,,,,,,,,,,
1,"S>N[","סאן ","SʔN",,"einherstampfen",,,,,,,,,,,,,,,
1,"S>S>[","סאסא ","SʔSʔ",,,,"aufscheuchen",,,,,,,,,,,,,
3,"SB>/","סֹבֶא I","sōveˀ","Bier",,,,,,,,,,,,,,,,
1,"SB>=/","סָבָא II","sāvāˀ","Betrunkene",,,,,,,,,,,,,,,,
4,"SB>==/","סְבָא III","sᵊvāˀ","Seba",,,,,,,,,,,,,,,,
5,"SB>[","סבא ","SVʔ",,"zechen; Betrunkene",,,,,,,,,,,,,,,
1,"SB>JM/","סְבָאִים ","sᵊvāʔîm","Sebaiter",,,,,,,,,,,,,,,,
161,"SBB[","סבב ","SVV",,"sich drehen, umzingeln","umbiegen, umzingeln","ändern",,,"wenden, abwenden","zum Drehen gebracht werden, eingefasst werden",,,,,,,,,
1,"SBH/","סִבָּה ","sibbāʰ","Wendung",,,,,,,,,,,,,,,,
336,"SBJB/","סָבִיב ","sāvîv","Umkreis; ringsum",,,,,,,,,,,,,,,,
3,"SBK/","סְבַךְ I","sᵊvax","Gestrüpp",,,,,,,,,,,,,,,,
2,"SBK=/","סְבֹךְ II","sᵊvōx","Gestrüpp",,,,,,,,,,,,,,,,
2,"SBK[","סבך ","SVX",,"verflechten",,,"verflochten sein",,,,,,,,,,,,
